ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,13.215,-0.79,15.0,70.93,1.448,76928,274144,-3.891,3.484,0.5,0.125,-1.4191813989351819e-05,4.529422969469013e-05,0.28061164935216526,0.49,0.621,0.79,4.18,5.167,0.808,0.673,0.899,0.748,0.315,0.356,0.884
230428,13.215,-0.79,13.0,0.678,0.808,13940,59431,-3.094,0.0,-0.031,0.062,-5.205599245343337e-05,7.173601147776183e-10,0.23455772240076728,0.447,0.811,0.551,0.32,0.759,0.427,0.156,0.892,0.175,0.2,0.405,0.494
230505,13.215,-0.79,13.0,2.26,0.166,2589,33895,0.125,-0.0,-0.031,0.031,3.6878226877120535e-06,-3.862495171881035e-09,0.07638294733736539,0.432,3.049,0.142,3.97,0.749,5.297,3.35,1.178,2.843,0.276,0.464,0.593
230512,13.215,-0.79,13.0,2.521,0.927,1996,9566,-0.375,0.0,-0.031,0.031,-3.9200946058958825e-05,0.0,0.20865565544637257,0.445,1.201,0.371,0.83,1.63,0.507,0.599,1.151,0.52,1.062,0.304,3.497
230519,13.215,-0.79,15.0,11.493,0.141,57467,289718,-8.809,-1.199,0.125,-0.016,-3.040393785131145e-05,-2.0867676299550184e-05,0.19835495205682768,4.171,1.032,4.04,11.85,4.174,2.84,24.077,1.599,15.056,0.481,1.798,0.268
230526,13.215,-0.79,13.0,0.087,16.099,951,4428,-0.234,0.0,-0.016,0.031,-5.292968749999993e-05,1.0515247108307052e-08,0.21476964769647697,1.351,0.971,1.392,0.35,0.328,1.055,13.824,0.704,19.622,0.07,0.208,0.336
230602,13.215,-0.79,12.0,0.113,1.879,219,691,-0.0,0.0,-0.062,0.016,-4.0167258488609134e-20,0.0,0.31693198263386396,1.841,0.505,3.643,0.15,0.698,0.216,0.174,2.222,0.078,1.667,0.453,3.676
230616,13.215,-0.79,15.0,3.882,0.184,119877,584774,-5.915,-5.079,0.062,-0.016,-1.0115046673947431e-05,-4.2369398807931774e-05,0.2049971441958774,1.109,2.046,0.542,0.86,10.281,0.083,0.047,2.525,0.019,1.644,4.973,0.331
230818,13.215,-0.79,16.0,2.771,1.157,33522,135536,1.696,2.173,0.062,-0.008,1.2515448141430138e-05,6.481807510506162e-05,0.24732912288985953,2.587,2.121,1.22,1.33,11.471,0.116,0.011,7.421,0.002,34.149,4.265,8.008
230915,13.215,-0.79,15.0,13.792,0.168,48802,289109,0.628,2.198,0.062,-0.008,2.1719794899479965e-06,4.504396572342067e-05,0.16880138632833983,1.186,3.439,0.345,2.91,19.326,0.151,0.11,0.755,0.145,0.341,1.807,0.189
231117,13.215,-0.79,16.0,0.439,7.573,7002,34628,-0.883,0.0,0.062,-0.008,-2.5493926067777528e-05,1.4281633818908883e-09,0.20220630703476955,2.645,3.735,0.708,7.22,0.602,11.996,1.5,7.392,0.203,53.0,0.971,54.571
240119,13.215,-0.79,17.0,0.191,1.692,89316,661862,0.326,0.802,0.062,-0.008,4.920947618116576e-07,8.982002749979707e-06,0.1349465598568886,5.213,3.806,1.37,1.12,3.376,0.333,0.02,1.915,0.01,18.183,4.195,4.335
240621,13.215,-0.79,18.0,2.159,1.606,32001,175979,0.354,-0.424,0.062,-0.004,2.0088311096423413e-06,-1.324564503355364e-05,0.18184556111808794,1.126,4.715,0.239,1.32,8.686,0.152,0.867,4.122,0.21,1.0,10.945,0.091
250117,13.215,-0.79,15.0,0.075,2.792,23506,330246,3.433,4.355,0.031,-0.016,1.0395561853062757e-05,0.00018527050544442112,0.07117724363050575,2.345,6.015,0.39,0.77,1.378,0.557,2.0,0.64,3.127,65.333,9.444,6.918
250620,13.215,-0.79,15.0,1.424,0.205,2729,128301,1.004,1.833,0.031,-0.016,7.828401403852074e-06,0.0006714981485033438,0.021270294074091395,13.803,4.053,3.406,20.84,3.822,5.453,0.006,0.115,0.052,2.0,9.421,0.212
250718,13.215,-0.79,15.0,0.0,inf,411,25777,-0.359,0.0,0.031,-0.016,-1.3941552789308302e-05,4.8661800486618024e-08,0.01594444659968189,14.833,13.705,1.082,0.0,15.44,0.0,,0.244,,22.0,6.875,3.2
251219,13.215,-0.79,17.0,0.038,0.101,4752,151090,-0.176,-0.0,0.031,-0.004,-1.1634091745813746e-06,-4.208754208754211e-09,0.031451452776490835,17.745,29.164,0.608,3.22,6.093,0.528,25.0,15.613,1.601,0.556,0.533,1.042
