ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,106.01,2.12,100.0,0.001,0.476,258568.0,1039582.0,-3.139,-9.607,-0.25,-0.125,-3.0191629259272753e-06,-3.715526179642391e-05,0.2487230444544057,0.296,0.594,0.498,0.01,0.023,0.356,0.673,0.775,0.869,0.522,0.469,1.113
230428,106.01,2.12,100.0,0.003,1.63,115720.0,384213.0,-7.5,0.0,-0.125,-0.031,-1.9520227061551787e-05,2.6103447268994132e-09,0.30118710194605597,0.298,0.489,0.611,0.01,0.037,0.336,0.213,0.413,0.516,0.532,0.776,0.686
230505,106.01,2.12,100.0,0.004,1.243,18127.0,70462.0,-3.25,0.0,-0.062,-0.031,-4.612455698881521e-05,1.0538674126906693e-08,0.2572592319264284,0.673,0.682,0.987,0.03,0.068,0.384,0.908,1.054,0.861,0.265,0.121,2.184
230512,106.01,2.12,100.0,0.068,0.563,12471.0,35359.0,-4.009,0.0,-0.062,-0.016,-0.0001133728039426843,1.2829765054927446e-08,0.3526966260358042,0.762,0.848,0.899,0.38,0.118,3.191,3.367,1.8,1.87,0.911,0.507,1.797
230519,106.01,2.12,100.0,0.009,0.309,117450.0,448706.0,-1.227,0.0,-0.062,-0.008,-2.7335275979706115e-06,8.514261387824606e-11,0.2617526843857671,0.4,0.587,0.682,0.07,0.032,2.008,0.723,0.953,0.758,0.459,0.718,0.64
230526,106.01,2.12,100.0,0.01,0.481,2848.0,14602.0,-1.282,0.0,-0.062,-0.016,-8.781083003933537e-05,4.5646067415730344e-08,0.19504177509930146,0.581,0.499,1.164,0.05,0.055,0.925,0.525,0.995,0.527,0.864,0.739,1.169
230602,106.01,2.12,100.0,0.001,0.153,683.0,1914.0,-0.711,0.0,-0.031,-0.031,-0.0003714369856974921,1.464128843338214e-07,0.3568443051201672,0.258,0.721,0.358,0.01,0.012,1.205,0.276,0.5,0.552,0.036,0.316,0.114
230616,106.01,2.12,95.0,0.747,0.175,388384.0,1424321.0,404.425,-183.626,-0.062,-0.008,0.00028394249966062974,-0.0004727938129792468,0.2726801051167539,1.686,0.494,3.412,1.56,0.4,3.896,0.607,0.249,2.439,0.745,0.751,0.993
230721,106.01,2.12,100.0,0.303,0.351,53327.0,240408.0,-7.105,-8.675,-0.031,-0.008,-2.955318704682346e-05,-0.00016267930670069072,0.2218187414728295,1.662,0.876,1.897,1.32,0.335,3.936,1.072,1.566,0.685,2.756,0.486,5.67
230818,106.01,2.12,100.0,0.476,0.228,11537.0,119462.0,-1.672,-1.09,-0.031,-0.004,-1.3997450687076162e-05,-9.448886402808288e-05,0.0965746429827058,0.739,0.375,1.974,0.33,0.4,0.824,3.176,1.286,2.471,0.175,0.619,0.283
230915,106.01,2.12,120.0,0.426,0.331,91464.0,412726.0,69.982,-28.603,0.031,-0.004,0.0001695611735179076,-0.00031272338613942045,0.22160949394998133,1.421,1.242,1.144,1.24,0.605,2.057,0.094,0.867,0.108,1.908,1.217,1.568
231020,106.01,2.12,115.0,0.132,17.125,23676.0,112393.0,-1.673,-1.013,0.031,-0.004,-1.4883799115464264e-05,-4.2771802058915155e-05,0.21065368839696422,3.643,1.416,2.573,0.67,1.012,0.664,0.007,1.258,0.005,2.036,1.424,1.429
240119,106.01,2.12,125.0,3.402,0.313,469448.0,1641533.0,43.771,-67.535,0.031,-0.004,2.6664922833997154e-05,-0.00014386016611936633,0.2859814575765458,6.048,0.736,8.213,12.76,1.188,10.744,3.792,1.186,3.199,2.103,0.965,2.179
240315,106.01,2.12,95.0,1.683,0.23,13609.0,76065.0,-2.368,-2.247,-0.031,-0.004,-3.112749804822305e-05,-0.00016508417958524408,0.1789127719713403,0.659,0.493,1.337,1.2,0.454,2.648,0.194,2.512,0.077,1.4,0.879,1.592
240621,106.01,2.12,130.0,1.476,0.624,156051.0,473820.0,2.534,-13.555,0.031,-0.002,5.348078030470339e-06,-8.686280317119697e-05,0.32934658731163735,0.683,0.779,0.876,1.1,0.717,1.528,0.04,1.06,0.038,0.086,1.105,0.078
240920,106.01,2.12,125.0,0.788,0.326,12105.0,45824.0,-1.137,-0.752,0.031,-0.002,-2.4817927150086973e-05,-6.216232270812358e-05,0.2641628840782123,1.772,1.91,0.928,2.82,0.946,2.983,2.0,0.872,2.293,1.0,0.372,2.686
250117,106.01,2.12,125.0,1.485,1.178,110653.0,364417.0,-1.797,-1.998,0.031,-0.002,-4.931692871771738e-06,-1.8060265736434542e-05,0.3036439024524103,0.687,0.987,0.696,1.44,0.698,2.063,0.036,1.025,0.035,0.01,4.811,0.002
250620,106.01,2.12,100.0,0.375,0.038,12222.0,63190.0,-1.255,-1.018,-0.008,-0.002,-1.985433784167324e-05,-8.331450224976125e-05,0.19341667985440733,2.385,0.73,3.266,3.63,0.18,20.172,0.385,1.288,0.299,2.5,3.387,0.738
251219,106.01,2.12,100.0,0.221,0.754,11667.0,31767.0,-0.657,-0.561,-0.008,-0.002,-2.0687804103674434e-05,-4.812696537179014e-05,0.3672679195391444,0.341,0.694,0.491,0.17,0.301,0.579,0.276,0.515,0.537,0.258,0.314,0.821
