ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,32.55,-0.79,40.0,184.526,0.13,37213.0,115013.0,-6.625,-61.063,-0.734,-0.203,-5.760215013737589e-05,-0.0016408938996452852,0.32355472859589784,0.42,1.037,0.405,1.98,40.579,0.049,0.1,2.258,0.044,1.0,2.087,0.479
230428,32.55,-0.79,32.0,5.517,0.622,1742.0,9408.0,0.621,-10.145,0.04,0.023,6.601749446116348e-05,-0.005823521898096656,0.18516156462585034,1.393,0.487,2.863,1.25,2.986,0.42,0.974,1.642,0.593,79.0,2.618,30.172
230505,32.55,-0.79,36.0,853.732,0.031,1061.0,7908.0,-1.242,-8.83,-0.033,-0.002,-0.00015701788895046878,-0.008322441553516729,0.13416793120890239,1.638,0.481,3.405,17.56,38.296,0.458,3.0,0.47,6.383,2.739,5.114,0.536
230512,32.55,-0.79,35.0,2494.159,0.135,447.0,2351.0,-0.595,-6.855,0.002,-0.003,-0.0002529649575645991,-0.015335619505470495,0.1901318587834964,1.263,0.321,3.938,30.27,33.385,0.907,7.143,0.721,9.906,3.922,3.679,1.066
230519,32.55,-0.79,40.0,60.367,1.32,20139.0,80513.0,4.298,-1.415,-0.114,0.04,5.338650528728668e-05,-7.024214206382815e-05,0.25013351881062684,5.779,1.424,4.059,57.0,8.715,6.541,0.01,0.999,0.01,5.5,2.681,2.052
230602,32.55,-0.79,30.0,0.208,0.909,29.0,80.0,0.141,0.133,0.074,0.067,0.0017638983764648424,0.004579695581896553,0.3625,2.286,0.569,4.02,0.6,0.45,1.333,2.6,1.0,2.6,1.5,0.29,5.167
230616,32.55,-0.79,37.5,3.182,3.046,2873.0,7134.0,0.398,-1.151,0.045,0.032,5.581572433997848e-05,-0.00040059081011518884,0.4027193720213064,1.417,1.101,1.287,0.58,8.513,0.069,0.078,0.428,0.183,6.833,1.735,3.939
230721,32.55,-0.79,42.5,8.779,0.196,10507.0,39004.0,1.929,-1.197,0.046,0.062,4.944856041407613e-05,-0.00011393066661845954,0.2693826274228284,0.922,1.067,0.864,2.08,4.145,0.502,1.0,2.213,0.452,0.136,2.032,0.067
231020,32.55,-0.79,37.5,6.958,0.528,4039.0,11605.0,1.859,-0.604,0.066,0.078,0.0001601676915804409,-0.00014961426204370684,0.3480396380870315,0.408,1.465,0.278,1.14,3.643,0.313,30.0,1.252,23.964,25.0,10.133,2.467
240119,32.55,-0.79,60.0,7.02,0.29,23620.0,63069.0,5.561,-1.336,0.112,0.089,8.817681720151005e-05,-5.6559359506062674e-05,0.37451045680128114,4.578,1.148,3.989,3.61,10.226,0.353,0.5,0.471,1.062,20.0,6.474,3.089
250117,32.55,-0.79,50.0,5.275,2.63,5022.0,9394.0,2.905,-0.705,0.146,0.134,0.00030923996663636725,-0.00014043272467354552,0.5345965509899936,2.087,1.618,1.29,2.73,6.518,0.419,0.25,0.989,0.253,1.0,2.041,0.49
