ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,34.125,-1.49,34.0,2.518,0.433,15909.0,118172.0,-3.992,-4.023,-0.031,0.062,-3.3782814737866205e-05,-0.0002529029147465663,0.13462579968181973,1.724,0.935,1.844,4.75,0.854,5.563,0.779,3.629,0.215,0.742,0.248,2.991
230428,34.125,-1.49,33.0,0.558,0.403,4928.0,24398.0,-1.148,0.0,-0.062,0.062,-4.707049822219039e-05,6.087662337662337e-09,0.20198376916140667,0.74,0.539,1.373,0.52,0.429,1.21,0.192,0.962,0.2,0.741,0.052,14.309
230505,34.125,-1.49,33.0,5.047,4.182,1101.0,7057.0,-0.914,0.0,-0.062,0.031,-0.00012952435303599264,1.8165304268846502e-08,0.15601530395352134,0.149,0.383,0.391,0.73,0.395,1.845,6.0,1.427,4.204,0.029,0.056,0.515
230512,34.125,-1.49,33.0,0.817,3.612,935.0,3246.0,-0.07,0.0,-0.031,0.031,-2.1661058803142346e-05,1.0695187165775408e-08,0.28804682686383243,1.247,1.062,1.174,2.23,0.486,4.575,213.0,0.997,213.549,0.041,0.471,0.087
230519,34.125,-1.49,35.0,4.049,0.389,7974.0,84264.0,-0.754,0.0,0.031,0.031,-8.946865932515666e-06,2.5081514923501377e-09,0.09463115921389917,0.512,0.918,0.557,1.39,1.37,1.015,0.315,0.105,2.998,0.315,0.105,2.998
230526,34.125,-1.49,36.0,2.268,0.788,558.0,2151.0,0.059,0.0,0.062,0.031,2.7239964696652725e-05,0.0,0.2594142259414226,5.284,1.142,4.625,19.82,0.691,28.684,4.927,0.791,6.232,1.4,0.12,11.694
230602,34.125,-1.49,34.0,0.003,0.855,145.0,593.0,-0.629,0.0,-0.004,-0.004,-0.0010605395631323779,4.137931034482761e-07,0.24451939291736932,1.426,1.893,0.753,0.18,0.043,4.088,0.5,1.875,0.267,0.5,1.875,0.267
230616,34.125,-1.49,33.0,5.098,1.022,37820.0,193201.0,-2.718,-0.386,-0.031,0.016,-1.4066916294024736e-05,-1.019815878462123e-05,0.1957546803587973,0.348,0.717,0.485,0.73,1.74,0.421,14.25,1.429,9.973,0.944,0.251,3.755
230915,34.125,-1.49,37.0,39.665,2.386,18064.0,78404.0,-0.822,-0.414,0.031,0.016,-1.048744199713982e-05,-2.292174265804916e-05,0.23039640834651293,0.135,1.439,0.094,2.37,3.261,0.727,0.04,4.374,0.009,0.011,2.935,0.004
240119,34.125,-1.49,37.0,5.583,0.304,43143.0,161339.0,-0.239,-0.364,0.031,0.008,-1.4829360534147067e-06,-8.443644853669773e-06,0.26740589690031547,1.003,1.066,0.941,2.16,2.769,0.779,2.699,1.547,1.745,1.417,3.021,0.469
250117,34.125,-1.49,40.0,3.107,0.615,9922.0,38750.0,0.73,0.909,0.031,0.008,1.882714536605343e-05,9.163853921180913e-05,0.2560516129032258,0.912,1.048,0.87,1.82,1.633,1.113,0.061,0.443,0.137,1.6,1.588,1.007
250620,34.125,-1.49,40.0,0.878,0.845,825.0,2946.0,-1.076,-0.671,0.031,0.004,-0.00036521282250429624,-0.0008129182913115532,0.280040733197556,3.007,2.295,1.31,8.19,0.741,11.053,4.286,2.619,1.636,0.2,0.43,0.465
251219,34.125,-1.49,33.0,0.048,1.732,1645.0,4986.0,-0.004,-0.0,-0.008,0.004,-7.834358077617415e-07,-6.079027355623104e-09,0.32992378660248695,3.039,0.933,3.256,1.89,0.072,26.146,35.294,1.446,24.412,0.009,0.023,0.39
