ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,185.38,-0.38,175.0,0.645,0.431,136583.0,384577.0,-14.883,9.301,-0.25,0.016,-3.869883040987648e-05,6.809829644994934e-05,0.3551512440941606,1.34,0.87,1.54,4.41,0.171,25.839,0.196,1.445,0.136,0.231,0.279,0.828
230428,185.38,-0.38,182.5,1.412,1.542,15657.0,78772.0,3.493,8.193,-0.031,0.008,4.434503636558478e-05,0.0005232547079518644,0.19876352003249886,0.568,1.651,0.344,2.12,0.623,3.413,187.0,1.087,172.087,0.473,1.123,0.421
230505,185.38,-0.38,187.0,5.988,0.215,7675.0,34949.0,-0.93,0.0,0.016,0.004,-2.6600995826060843e-05,1.563517915309448e-08,0.21960571117914676,2.279,0.932,2.446,7.9,1.611,4.903,0.959,2.298,0.417,1.333,0.25,5.344
230512,185.38,-0.38,185.0,4.515,0.197,3415.0,12511.0,-0.437,0.0,-0.004,0.004,-3.4968877387898664e-05,1.4641288433382137e-08,0.27295979538006554,2.576,0.862,2.988,5.26,1.906,2.76,0.419,2.712,0.154,0.397,0.974,0.408
230519,185.38,-0.38,183.0,0.105,0.538,115087.0,597348.0,-4.069,-0.946,-0.016,0.004,-6.811860265635826e-06,-8.218438758728451e-06,0.1926632381794197,0.444,0.42,1.057,0.11,0.182,0.592,12.462,1.061,11.741,0.189,0.731,0.259
230526,185.38,-0.38,194.0,2.492,0.66,2500.0,7288.0,-0.107,0.0,0.031,0.004,-1.4739407351982717e-05,8.000000000000005e-09,0.3430296377607025,2.925,2.774,1.054,3.86,5.234,0.738,8.643,1.686,5.127,0.833,1.939,0.43
230602,185.38,-0.38,192.0,8.318,0.592,776.0,1627.0,0.002,-0.0,0.031,0.004,1.2004336009526187e-06,-3.865979381443299e-08,0.47695144437615244,4.412,1.19,3.708,12.81,3.409,3.757,11.429,1.894,6.034,0.312,0.92,0.34
230616,185.38,-0.38,171.0,0.415,1.661,162326.0,808997.0,-18.678,-12.083,-0.062,0.002,-2.3087537093276752e-05,-7.443550405120087e-05,0.20065092948428734,0.088,0.455,0.194,0.2,0.085,2.332,3.0,1.117,2.687,0.069,0.633,0.11
230630,185.38,-0.38,183.0,0.102,0.431,24450.0,133760.0,-1.544,5.851,-0.008,0.002,-1.1546644616925545e-05,0.00023929842114906854,0.18279007177033493,1.204,0.652,1.848,0.3,0.266,1.128,0.194,0.973,0.199,0.25,0.275,0.908
230721,185.38,-0.38,185.0,0.005,0.032,264.0,4435.0,-0.018,0.0,-0.002,-0.002,-3.963460928692219e-06,7.575757575757578e-08,0.059526493799323565,0.494,0.148,3.335,0.01,0.023,0.628,0.037,0.095,0.392,0.037,0.095,0.392
