ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,0.776,0.1,1.0,15.155,0.003,579,24547,0.5,-0.0,0.5,0.5,2.0368884181366366e-05,-1.7271157167530233e-08,0.023587403756059805,0.257,0.719,0.357,1.14,2.446,0.467,0.3,0.044,6.782,0.3,0.044,6.782
230428,0.776,0.1,0.5,0.634,0.207,200,6146,0.0,0.0,-0.5,0.5,0.0,0.0,0.03254149040026033,0.005,0.137,0.037,0.01,0.036,0.336,0.183,3.808,0.048,0.0,0.001,0.243
230505,0.776,0.1,0.5,6.517,0.022,55,1742,0.0,0.0,-0.5,0.5,0.0,0.0,0.03157290470723306,0.064,0.392,0.163,1.33,0.122,10.889,0.667,9.898,0.067,0.044,0.005,8.806
230512,0.776,0.1,0.5,0.129,12.043,143,1215,0.0,0.0,-0.5,0.5,0.0,0.0,0.1176954732510288,0.25,0.198,1.261,0.06,0.109,0.542,4.412,1.45,3.043,0.003,0.016,0.22
230519,0.776,0.1,1.0,6.984,0.822,28411,75565,-9.797,-23.375,0.25,0.25,-0.00012964844086010388,-0.0008227463600696033,0.3759809435585258,0.248,0.364,0.683,0.32,1.963,0.164,0.04,0.739,0.054,0.04,0.739,0.054
230526,0.776,0.1,0.5,0.0,inf,22,4955,-0.25,0.0,-0.5,0.25,-5.045358224016145e-05,0.0,0.004439959636730575,1.351,0.016,86.753,0.0,0.222,0.0,3.333,4.0,0.833,,0.001,
230602,0.776,0.1,0.5,0.0,,15,240,-0.5,0.0,-0.5,-0.5,-0.0020833125,6.666666666666669e-07,0.0625,4.545,15.0,0.303,0.0,0.0,,4.545,15.0,0.303,4.545,15.0,0.303
230818,0.776,0.1,1.0,2758.453,37.219,4397,25780,-0.945,-2.07,0.125,0.125,-3.6668680148128385e-05,-0.00047085224567176484,0.17055857253685028,0.216,0.285,0.759,32.0,5.308,6.028,0.027,0.327,0.082,0.027,0.327,0.082
231117,0.776,0.1,0.5,1.445,2.516,276,4852,-1.25,-1.375,-0.25,-1.25,-0.0002576245620362737,-0.004981895380434783,0.05688375927452597,0.756,0.108,7.011,8.0,0.015,544.0,162.0,1.721,94.154,,0.0,
240119,0.776,0.1,1.0,1503.508,0.968,16409,126833,-5.453,-16.547,0.125,0.125,-4.299485400770599e-05,-0.0010084101135190674,0.1293748472400716,0.169,0.147,1.149,2.99,12.461,0.24,0.539,0.185,2.923,0.539,0.185,2.923
250117,0.776,0.1,0.5,17.358,0.453,15090,72293,2.562,-0.0,-0.125,0.062,3.544567765897113e-05,-5.964214711729624e-09,0.20873390231419364,0.217,0.083,2.628,0.61,0.508,1.205,0.048,0.043,1.106,0.324,0.371,0.874
