ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,106.29,0.37,100.0,0.013,0.311,113297.0,359307.0,58.29,69.653,0.463,0.12,0.0001622286703122179,0.0006147844307312602,0.31532088158594185,0.813,0.637,1.278,0.14,0.049,2.84,0.097,0.731,0.132,0.18,0.396,0.455
230428,106.29,0.37,102.0,0.037,0.883,14365.0,63687.0,13.469,28.076,0.042,0.052,0.00021148714656171844,0.001954471024255324,0.22555623596652377,1.902,0.807,2.355,0.21,0.272,0.764,0.076,1.605,0.048,1.076,0.475,2.264
230505,106.29,0.37,105.0,0.436,0.275,3928.0,22824.0,3.768,9.82,0.055,0.054,0.0001650752977116502,0.002499964892354371,0.17209954433929198,1.196,1.007,1.188,1.58,0.333,4.745,8.7,2.051,4.242,23.0,0.975,23.584
230512,106.29,0.37,108.0,0.131,3.924,2737.0,12653.0,-1.655,1.868,0.053,0.048,-0.00013079037994864745,0.0006824476337537397,0.21631233699517902,3.805,0.926,4.107,0.59,0.789,0.744,3.4,0.764,4.453,0.333,0.496,0.672
230519,106.29,0.37,100.0,0.296,0.516,53708.0,198816.0,3.557,6.587,0.062,0.051,1.7890949141819972e-05,0.0001226523450591625,0.27013922420730724,0.458,0.68,0.673,1.32,0.07,18.862,1.053,0.915,1.15,0.083,0.959,0.087
230526,106.29,0.37,105.0,0.316,0.268,998.0,4229.0,1.493,3.66,0.057,0.057,0.0003529294834240695,0.0036670254229161452,0.2359895956490896,0.292,0.549,0.532,0.18,0.284,0.627,0.01,2.516,0.004,0.248,0.342,0.726
230602,106.29,0.37,100.0,0.003,0.724,68.0,324.0,0.592,1.714,0.102,0.094,0.001828399081759984,0.0252005280977137,0.20987654320987653,2.415,2.447,0.987,0.14,0.115,1.178,1.143,2.308,0.495,0.13,0.256,0.509
230616,106.29,0.37,2850.0,1.548,0.366,102924.0,469541.0,38.021,-6.487,0.5,0.072,8.097394674440404e-05,-6.302748276681313e-05,0.21920130510434657,0.983,0.807,1.218,2.98,0.411,7.253,4.0,6.198,0.645,0.645,0.81,0.796
230721,106.29,0.37,95.0,0.018,5.668,16658.0,63692.0,-2.077,-0.626,0.12,0.063,-3.261146841520554e-05,-3.759685978481282e-05,0.2615399108208252,2.02,0.644,3.135,0.17,0.142,1.191,19.6,0.968,20.255,9.315,0.706,13.19
230818,106.29,0.37,100.0,0.019,0.288,3116.0,18357.0,1.806,3.924,0.095,0.105,9.838635279175482e-05,0.0012591979504488551,0.16974451163044071,0.406,1.009,0.402,0.08,0.095,0.865,0.08,2.499,0.032,0.246,0.701,0.352
