ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,284.99,-0.39,260.0,0.053,0.788,140699.0,571148.0,-80.607,-80.968,-0.5,0.001,-0.00014113170673097034,-0.0005754720803644588,0.24634420500465729,1.781,0.893,1.995,0.39,0.215,1.828,92.0,1.011,91.028,1.909,0.802,2.379
230428,284.99,-0.39,290.0,4.49,0.534,18962.0,109649.0,-2.15,4.114,0.031,0.0,-1.9606856087022572e-05,0.00021695238055263492,0.17293363368566972,1.918,0.799,2.402,3.91,1.759,2.224,395.5,0.59,670.563,6.0,0.593,10.116
230505,284.99,-0.39,280.0,8.676,0.543,4487.0,33892.0,-2.269,0.288,-0.016,0.0,-6.695395320305702e-05,6.423313821852536e-05,0.13239112474920336,0.485,0.671,0.723,2.65,1.064,2.493,0.093,1.216,0.076,19.5,0.622,31.337
230512,284.99,-0.39,290.0,7.069,2.044,4874.0,15947.0,-0.617,0.535,0.016,0.0,-3.8686724145068455e-05,0.00010980937596173571,0.3056374239668903,1.274,1.198,1.064,4.43,2.437,1.816,0.197,0.247,0.798,5.58,4.89,1.141
230519,284.99,-0.39,265.0,0.32,0.117,51583.0,252023.0,2.302,9.704,-0.062,0.0,9.132753948893206e-06,0.00018813045395143276,0.20467576371997795,4.733,0.808,5.859,3.61,0.339,10.67,0.091,1.319,0.069,10.0,0.475,21.042
230526,284.99,-0.39,280.0,11.135,0.406,701.0,11493.0,-1.205,0.0,-0.016,0.0,-0.00010480969266958695,4.27960057061341e-08,0.060993648307665536,0.457,0.228,2.003,1.43,0.811,1.764,0.207,1.144,0.181,2.85,0.799,3.566
230602,284.99,-0.39,275.0,1.551,0.324,149.0,718.0,-0.622,-0.264,-0.279,-0.263,-0.0008662145163023374,-0.0017687729475802225,0.2075208913649025,1.145,0.841,1.362,1.51,0.987,1.535,6.0,3.278,1.831,27.0,0.587,45.973
230616,284.99,-0.39,250.0,0.604,1.222,123511.0,513216.0,-16.773,-16.172,0.371,0.0,-3.2682455612219e-05,-0.00013093182458253752,0.24066085235066717,0.3,0.856,0.35,0.81,0.191,4.257,13.769,0.985,13.972,0.924,0.749,1.233
230721,284.99,-0.39,275.0,0.585,1.908,29718.0,166748.0,2.337,5.759,-0.016,0.0,1.4013257550212971e-05,0.00019378927446356755,0.1782210281382685,0.634,1.053,0.602,2.44,0.16,15.232,78.0,2.079,37.519,4.494,0.781,5.755
230818,284.99,-0.39,250.0,0.305,0.676,18652.0,71769.0,3.169,7.477,-0.062,0.0,4.41539258701379e-05,0.00040086437860988326,0.25988936727556466,0.385,0.921,0.419,0.39,0.276,1.416,12.8,1.066,12.011,5.619,1.461,3.846
