ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,59.69,1.31,62.0,5.806,0.159,15163.0,99265.0,120.675,100.468,0.676,0.49,0.001215680833816048,0.006625895870988385,0.15275273258449604,1.087,0.808,1.346,1.54,3.319,0.463,0.077,0.576,0.133,4.383,2.986,1.468
230428,59.69,1.31,63.0,56.426,0.305,7413.0,31327.0,13.013,5.269,0.225,0.207,0.0004153973524859742,0.000710778491438183,0.2366329364446005,1.435,0.849,1.69,6.67,10.318,0.646,0.278,2.406,0.115,28.111,2.988,9.41
230505,59.69,1.31,65.0,3.223,0.119,1465.0,8594.0,7.131,2.239,0.182,0.162,0.0008297577806259277,0.0015281780360094923,0.17046776821037934,1.421,1.552,0.916,1.36,5.234,0.26,0.071,0.366,0.195,0.556,21.722,0.026
230512,59.69,1.31,62.0,11.514,0.134,726.0,4116.0,5.215,2.823,0.167,0.175,0.0012670252704527693,0.003888759429343146,0.17638483965014579,1.708,1.772,0.964,4.32,8.075,0.534,3.5,1.534,2.281,0.429,58.818,0.007
230519,59.69,1.31,65.0,85.78,0.409,5138.0,17868.0,5.541,3.131,0.162,0.134,0.0003101065974153342,0.0006093465422693047,0.2875531676740542,1.64,1.436,1.142,9.43,21.437,0.44,1.304,3.323,0.393,0.292,1.444,0.202
230526,59.69,1.31,60.0,12.314,0.271,151.0,623.0,1.802,-0.2,0.13,0.13,0.00289321381937826,-0.0013259159638865957,0.24237560192616373,0.754,0.679,1.11,1.83,3.441,0.533,7.75,2.25,3.444,7.75,2.25,3.444
230616,59.69,1.31,65.0,12.823,0.114,12333.0,91232.0,12.213,7.312,0.125,0.118,0.00013387223441405947,0.0005928737085172752,0.1351828305857594,0.517,0.875,0.59,2.23,2.596,0.861,0.889,1.619,0.549,2.286,0.795,2.874
230721,59.69,1.31,70.0,25.01,3.68,7552.0,30953.0,4.89,5.545,0.131,0.115,0.0001579851282368884,0.0007341798299045885,0.24398281265143928,0.318,1.618,0.197,2.67,4.827,0.552,0.059,0.62,0.095,38.0,2.223,17.095
230915,59.69,1.31,70.0,5.676,0.725,8198.0,36920.0,3.311,3.784,0.131,0.127,8.968754456955069e-05,0.0004616103776800078,0.22204767063921993,0.331,0.99,0.334,0.97,1.92,0.504,0.079,3.632,0.022,0.012,0.191,0.062
231020,59.69,1.31,65.0,2.618,0.141,1816.0,11449.0,2.401,0.423,0.131,0.126,0.0002097479437832147,0.00023316502171991118,0.15861647305441523,0.711,1.609,0.442,1.24,2.42,0.511,0.8,0.141,5.691,15.5,3.024,5.126
240119,59.69,1.31,90.0,50.054,0.21,11658.0,65354.0,23.817,-10.799,0.173,0.137,0.0003644284579022576,-0.0009263305138420906,0.17838234844079934,0.482,0.568,0.849,3.86,3.552,1.087,0.062,0.394,0.159,0.236,2.544,0.093
240621,59.69,1.31,65.0,6.934,0.724,1425.0,3890.0,3.378,3.264,0.157,0.149,0.0008683706840770105,0.0022907049838952844,0.36632390745501286,0.345,1.484,0.232,1.62,2.195,0.736,1.0,0.6,1.667,2.5,7.342,0.34
250117,59.69,1.31,80.0,8.788,0.352,6432.0,15079.0,3.649,1.946,0.182,0.17,0.00024196864207232528,0.00030256008954783606,0.42655348497911,0.583,1.11,0.525,1.09,5.227,0.208,0.115,1.268,0.091,0.067,0.256,0.26
