ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,411.135,-0.18,410.0,0.069,0.271,684171.0,4721327.0,3.985,95.639,0.013,0.012,8.441209925446746e-07,0.00013978860492063676,0.14491074225530237,1.106,2.911,0.38,0.89,0.251,3.532,3.939,1.057,3.725,0.595,1.135,0.525
230424,411.135,-0.18,414.0,1.162,0.367,33796.0,223755.0,3.645,6.553,0.006,0.009,1.629088147613409e-05,0.00019388583690432463,0.1510402002189895,0.991,1.134,0.874,0.66,1.972,0.336,0.085,1.084,0.078,0.563,0.702,0.802
230425,411.135,-0.18,414.0,0.762,1.402,39710.0,145615.0,2.361,4.142,0.013,0.011,1.62127269536213e-05,0.00010429844323924131,0.27270542183154206,1.058,0.861,1.23,0.56,1.247,0.446,0.061,1.105,0.056,0.653,0.733,0.891
230426,411.135,-0.18,414.0,0.987,1.154,29440.0,104474.0,1.237,2.316,0.011,0.013,1.1841311817441946e-05,7.866004435912425e-05,0.2817925991155694,1.181,1.31,0.902,0.81,1.883,0.431,0.056,1.383,0.04,0.901,1.061,0.849
230427,411.135,-0.18,410.0,1.549,0.615,14909.0,60021.0,1.263,2.606,0.02,0.017,2.1038365240378778e-05,0.0001748095184025274,0.248396394595225,0.816,0.991,0.823,0.68,1.835,0.372,0.705,1.048,0.673,0.912,0.424,2.151
230428,411.135,-0.18,410.0,0.065,0.693,110475.0,949551.0,13.738,28.046,0.02,0.02,1.4467952410348913e-05,0.00025386439151250283,0.11634446175086963,2.045,2.355,0.869,0.68,0.457,1.493,2.788,6.335,0.44,0.708,1.489,0.475
230505,411.135,-0.18,415.0,0.532,1.102,162577.0,844173.0,7.861,18.496,0.027,0.027,9.312512459899272e-06,0.00011377028665001934,0.19258730141807426,0.871,2.357,0.37,1.8,0.607,2.968,0.197,0.485,0.405,3.439,1.097,3.135
230512,411.135,-0.18,418.0,0.17,0.859,57058.0,312532.0,4.365,8.87,0.032,0.029,1.3967473009084187e-05,0.00015545880483592355,0.18256690514891274,1.385,2.097,0.66,0.6,0.822,0.73,0.007,1.01,0.007,1.227,0.44,2.786
230519,411.135,-0.18,410.0,0.037,0.747,526974.0,3249466.0,12.303,33.306,0.033,0.034,3.786104646307324e-06,6.320177619026992e-05,0.16217249234181863,1.297,2.51,0.517,0.36,0.332,1.09,1.424,1.992,0.715,0.655,0.372,1.763
230526,411.135,-0.18,417.0,0.353,0.325,38425.0,198360.0,3.867,7.302,0.037,0.038,1.9496223518939293e-05,0.00019003433833125353,0.19371345029239767,1.099,3.087,0.356,1.16,1.029,1.131,0.16,3.524,0.045,1.816,1.286,1.412
230602,411.135,-0.18,407.5,0.075,1.507,8343.0,53305.0,2.229,2.114,0.045,0.042,4.1824779900161804e-05,0.00025341084381180323,0.15651439827408312,5.338,0.989,5.396,0.75,0.529,1.411,22.0,0.188,116.995,0.086,0.184,0.467
230616,411.135,-0.18,420.0,0.052,0.445,630443.0,3472893.0,2.616,27.685,0.037,0.038,7.533774742525774e-07,4.391286643591184e-05,0.1815325148226565,1.52,2.022,0.752,0.47,0.34,1.377,0.343,0.828,0.414,0.961,1.662,0.578
230630,411.135,-0.18,420.0,0.036,0.606,117481.0,795313.0,1.434,18.333,0.034,0.035,1.8028610256371684e-06,0.00015605222443445475,0.14771668512899952,2.823,2.01,1.405,0.52,0.388,1.343,0.774,0.284,2.723,0.43,1.458,0.295
230721,411.135,-0.18,400.0,0.081,1.125,107045.0,774944.0,-1.59,8.724,0.045,0.042,-2.0518601095764583e-06,8.149549840278274e-05,0.13813256183672626,1.802,2.252,0.8,0.72,0.459,1.561,51.793,2.078,24.922,0.775,1.053,0.737
230818,411.135,-0.18,400.0,0.025,1.332,83907.0,396107.0,6.146,13.123,0.056,0.053,1.551576749846914e-05,0.00015639411580656786,0.21182912697831646,1.277,2.181,0.585,0.1,0.675,0.155,38.167,6.054,6.305,8.4,10.498,0.8
230915,411.135,-0.18,400.0,0.206,0.143,173303.0,1179386.0,-0.666,14.445,0.061,0.058,-5.649022833837928e-07,8.335160012736395e-05,0.1469434095368268,2.816,1.821,1.546,2.4,0.441,5.441,12.566,6.395,1.965,81.667,0.307,265.778
230929,411.135,-0.18,430.0,0.067,0.498,23269.0,160335.0,5.269,22.527,0.054,0.055,3.2865143473215924e-05,0.0009680972364991983,0.1451273895281754,1.864,1.461,1.275,0.19,0.971,0.193,0.012,1.071,0.011,4.5,1.452,3.099
231020,411.135,-0.18,445.0,5.983,5.534,36825.0,248110.0,4.244,12.954,0.064,0.061,1.7105342919571587e-05,0.0003517820948376109,0.14842207085566886,1.534,1.909,0.804,5.71,3.071,1.858,0.05,1.989,0.025,45.7,9.012,5.071
231215,411.135,-0.18,430.0,1.418,0.549,184891.0,1339014.0,9.89,23.132,0.067,0.071,7.386260780593024e-06,0.0001251112036260369,0.13807996032901823,1.42,1.449,0.98,1.97,1.479,1.334,30.25,0.944,32.035,5.2,7.0,0.743
231229,411.135,-0.18,393.0,0.116,0.913,10450.0,58560.0,8.395,25.134,0.073,0.071,0.00014335066853976637,0.002405158592654871,0.17844945355191258,0.934,1.326,0.704,0.37,0.387,0.963,0.5,0.081,6.144,7.75,0.588,13.173
240119,411.135,-0.18,405.0,0.15,0.09,86600.0,643367.0,-0.47,3.909,0.072,0.069,-7.306211777054421e-07,4.513789162316448e-05,0.1346043549016347,2.265,1.384,1.637,1.12,0.418,2.681,30.0,1.47,20.409,0.986,0.5,1.97
240315,411.135,-0.18,420.0,0.396,0.949,23015.0,143128.0,5.197,12.812,0.079,0.08,3.6310689205574565e-05,0.0005566910195227372,0.16080012296685484,0.187,2.068,0.091,0.13,1.172,0.112,0.222,1.005,0.221,22.75,6.802,3.345
240328,411.135,-0.18,350.0,0.277,1.133,920.0,2279.0,2.64,4.761,0.102,0.075,0.0011582704406309778,0.005174751839264578,0.40368582711715667,0.821,0.664,1.237,0.32,0.474,0.67,0.333,0.176,1.889,0.412,0.183,2.247
240621,411.135,-0.18,400.0,0.135,0.53,67209.0,457713.0,1.372,7.37,0.085,0.084,2.9968517692084835e-06,0.00010965991885503611,0.14683655478432991,0.833,0.818,1.018,0.26,0.36,0.712,1.222,3.547,0.345,0.267,1.033,0.258
241220,411.135,-0.18,400.0,4.009,0.165,59427.0,449961.0,0.936,3.709,0.094,0.094,2.080898876368599e-06,6.241963845904751e-05,0.1320714461920033,0.852,0.939,0.908,7.04,0.456,15.46,4.4,3.236,1.36,2.5,0.462,5.411
250117,411.135,-0.18,450.0,1.188,0.139,10608.0,47889.0,3.215,9.058,0.095,0.09,6.71394024386349e-05,0.0008539286688406181,0.2215122470713525,2.905,1.221,2.379,6.11,0.69,8.854,0.095,1.722,0.055,1.0,5.686,0.176
250321,411.135,-0.18,475.0,0.065,0.208,1283.0,6334.0,4.272,10.995,0.108,0.093,0.0006745237561615253,0.008569566811065792,0.20255762551310388,0.946,3.644,0.26,0.54,0.421,1.275,1.0,1.857,0.538,1.0,1.92,0.521
251219,411.135,-0.18,380.0,0.069,0.883,15371.0,41018.0,5.915,11.894,0.098,0.1,0.00014420393544674687,0.0007737815345544275,0.37473791993758837,1.266,0.802,1.578,0.3,0.236,1.262,1.0,1.131,0.884,3.0,0.257,11.684
