ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,411.99,0.03,410.0,0.092,0.234,684171.0,4721327.0,-28.172,64.858,0.026,0.0,-5.966953167924353e-06,9.4797533066672e-05,0.14491074225530237,1.127,2.911,0.387,1.2,0.251,4.772,4.064,1.057,3.844,0.693,1.135,0.611
230424,411.99,0.03,414.0,1.492,0.355,33796.0,223755.0,1.369,4.405,0.001,0.001,6.1166841287415336e-06,0.0001303536351597059,0.1510402002189895,1.033,1.134,0.911,0.89,1.972,0.449,0.09,1.084,0.083,0.6,0.702,0.855
230425,411.99,0.03,414.0,1.336,1.313,39710.0,145615.0,1.283,3.334,0.009,0.006,8.810116541834694e-06,8.396537832636222e-05,0.27270542183154206,0.88,0.861,1.022,0.81,1.247,0.65,0.092,1.105,0.084,0.65,0.733,0.887
230426,411.99,0.03,414.0,1.189,1.138,29440.0,104474.0,0.708,1.851,0.007,0.009,6.780902178945621e-06,6.287481907139653e-05,0.2817925991155694,1.08,1.31,0.824,0.89,1.883,0.474,0.07,1.383,0.05,0.953,1.061,0.899
230427,411.99,0.03,410.0,2.048,0.575,14909.0,60021.0,1.004,2.416,0.019,0.017,1.6733884595469707e-05,0.0001620368453055306,0.248396394595225,0.761,0.991,0.768,0.84,1.835,0.459,0.722,1.048,0.689,0.749,0.424,1.766
230428,411.99,0.03,410.0,0.085,0.628,110475.0,949551.0,10.518,25.073,0.018,0.017,1.1076543332429285e-05,0.0002269593675581031,0.11634446175086963,2.107,2.355,0.895,0.93,0.457,2.027,3.366,6.335,0.531,0.833,1.489,0.559
230505,411.99,0.03,415.0,0.377,1.093,162577.0,844173.0,6.255,16.948,0.023,0.022,7.410206993223921e-06,0.00010424818206109283,0.19258730141807426,1.193,2.357,0.506,1.75,0.607,2.877,0.197,0.485,0.407,2.23,1.097,2.033
230512,411.99,0.03,418.0,0.189,0.822,57058.0,312532.0,3.582,8.149,0.028,0.027,1.1459649422524136e-05,0.00014282679963920002,0.18256690514891274,1.21,2.097,0.577,0.58,0.822,0.709,0.038,1.01,0.037,0.916,0.44,2.08
230519,411.99,0.03,410.0,0.039,1.058,526974.0,3249466.0,12.198,33.191,0.034,0.032,3.7539011840665897e-06,6.298478531703634e-05,0.16217249234181863,1.357,2.51,0.541,0.4,0.332,1.209,1.374,1.992,0.689,0.608,0.372,1.636
230526,411.99,0.03,417.0,0.269,0.511,38425.0,198360.0,3.501,6.952,0.037,0.037,1.76508177464757e-05,0.0001809129100990667,0.19371345029239767,1.699,3.087,0.551,1.37,1.029,1.333,0.117,3.524,0.033,2.217,1.286,1.724
