ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,161.95,-0.64,180.0,50.675,1.579,298557.0,1639215.0,529.583,359.86,0.875,0.179,0.00032307140807065704,0.0012053325613939868,0.18213413127625114,0.952,0.699,1.362,12.74,2.645,4.818,0.871,0.958,0.909,2.792,1.703,1.639
230428,161.95,-0.64,170.0,85.481,0.348,73251.0,364694.0,29.294,25.923,0.043,0.024,8.032467616673481e-05,0.0003538915939967436,0.20085606014905646,1.311,0.727,1.804,9.53,8.539,1.116,0.1,0.787,0.127,2.297,1.874,1.226
230505,161.95,-0.64,180.0,297.102,0.341,31589.0,130959.0,-1.019,-16.51,-0.028,0.04,-7.784266457261892e-06,-0.0005226537236944253,0.24121289869348422,0.813,0.815,0.997,12.86,15.3,0.841,0.006,0.817,0.008,1.857,1.495,1.242
230512,161.95,-0.64,185.0,138.784,0.164,10859.0,55722.0,9.825,-1.297,0.026,0.074,0.00017632435896370883,-0.00011940733216416814,0.19487814507734827,0.573,0.821,0.698,4.72,13.835,0.341,1.112,0.276,4.026,2.271,1.515,1.499
230519,161.95,-0.64,200.0,41.235,0.847,191919.0,622986.0,31.691,25.571,0.025,0.075,5.086874954251017e-05,0.0001332396403184334,0.30806310254163016,2.006,1.126,1.781,21.06,4.423,4.761,0.033,0.532,0.062,0.493,1.413,0.349
230526,161.95,-0.64,175.0,1.387,0.156,5195.0,33030.0,1.337,-0.38,0.002,0.029,4.046627468532989e-05,-7.309535665209192e-05,0.15728125946109597,0.631,1.598,0.395,0.82,1.713,0.477,30.571,0.665,45.947,0.686,1.525,0.45
230602,161.95,-0.64,170.0,6.5,0.088,2340.0,12689.0,0.859,-2.008,0.051,0.048,6.767239547995263e-05,-0.0008579522579877806,0.18441169516904404,5.605,0.869,6.453,9.74,3.247,3.001,0.053,0.278,0.19,38.72,2.338,16.565
230616,161.95,-0.64,200.0,50.729,0.435,305946.0,1471901.0,79.505,10.716,0.057,0.049,5.4014888561227406e-05,3.5026490783162835e-05,0.20785772956197462,5.686,0.732,7.769,67.32,3.136,21.466,0.126,0.707,0.178,1.4,1.478,0.947
230721,161.95,-0.64,200.0,9.402,0.337,102684.0,392070.0,23.798,24.969,0.069,0.075,6.069724826422096e-05,0.00024316759550020234,0.2619022113398118,2.111,0.994,2.123,6.06,3.258,1.859,5.855,0.908,6.451,0.344,2.403,0.143
230818,161.95,-0.64,120.0,1.747,2.659,45951.0,102900.0,6.162,2.042,0.113,0.084,5.988546225322578e-05,4.444201840401962e-05,0.4465597667638484,1.912,0.829,2.305,3.79,0.732,5.175,5.77,0.126,45.726,326.5,11.202,29.148
