ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,3.885,0.13,3.5,82.55,0.337,44752,265773,-67.469,-104.875,-1.25,-0.344,-0.0002538585370257231,-0.0023434716561201176,0.16838429787826453,0.62,0.252,2.464,5.24,2.457,2.133,0.003,1.187,0.002,0.101,0.255,0.397
230428,3.885,0.13,3.5,12.806,0.267,22976,112489,-26.039,-57.219,-0.266,-0.133,-0.00023148076136541676,-0.0024903714214526843,0.20425108232804987,0.188,0.229,0.821,0.48,1.153,0.413,0.328,0.741,0.442,0.065,0.246,0.265
230505,3.885,0.13,3.0,17.968,1.159,10536,53329,-2.645,-26.926,-0.438,-0.062,-4.958885599884684e-05,-0.002555600686040718,0.19756605224174464,1.655,0.22,7.508,6.59,0.995,6.618,1.37,2.168,0.632,363.333,0.347,1048.104
230512,3.885,0.13,3.0,35.477,15.707,7645,28261,-1.641,-18.023,-0.078,-0.055,-5.8052887592441697e-05,-0.0023575489852436233,0.27051413608860264,0.981,0.406,2.415,20.79,0.679,30.591,67.0,2.262,29.613,0.077,0.194,0.397
230519,3.885,0.13,5.0,2316.589,3.167,21961,119040,-2.121,-18.246,-0.062,-0.043,-1.781829801169776e-05,-0.0008308417122967988,0.1844842069892473,0.283,0.245,1.153,30.34,5.3,5.725,4.389,0.282,15.584,42.304,0.263,160.649
230526,3.885,0.13,3.0,9.7,3.244,2723,10088,0.09,-9.242,0.0,-0.02,8.905471692852561e-06,-0.003394124292772218,0.26992466296590006,0.714,0.348,2.05,1.14,2.116,0.538,0.794,0.355,2.234,0.116,0.723,0.161
230602,3.885,0.13,3.5,5.223,0.113,737,3927,0.195,-4.43,-0.043,-0.086,4.973430636459066e-05,-0.006010448105707258,0.1876750700280112,0.126,0.187,0.675,0.18,0.679,0.268,0.02,0.703,0.029,8.333,0.223,37.337
230616,3.885,0.13,2.0,237.451,1.842,55216,232410,2.098,-39.801,0.719,-0.039,9.025710725388272e-06,-0.0007208206966447678,0.23758013854825524,0.618,0.285,2.166,10.55,3.967,2.659,31.0,1.254,24.721,8.579,0.386,22.207
230915,3.885,0.13,5.0,38.115,0.734,12014,85097,1.332,-10.356,0.051,-0.059,1.565301536408447e-05,-0.0008619528453783084,0.1411800651021775,2.771,0.226,12.289,5.48,4.347,1.261,4.667,0.563,8.285,0.038,0.301,0.128
240119,3.885,0.13,3.0,2.933,0.1,16982,97631,17.195,-39.997,0.061,-0.016,0.00017612449805021584,-0.002355275312474697,0.17394065409552295,0.138,0.522,0.264,0.13,1.581,0.085,0.03,1.23,0.024,0.07,0.266,0.262
240621,3.885,0.13,10.0,44.607,5.977,25873,36016,21.568,-11.42,0.015,0.211,0.0005988528221398128,-0.00044138918157623293,0.7183751665926255,1.463,2.754,0.531,19.18,9.37,2.047,0.017,0.4,0.043,0.069,0.993,0.069
250117,3.885,0.13,25.0,41.689,10.421,10428,25307,0.589,-19.512,0.393,0.149,2.3269188544362676e-05,-0.0018710938773614308,0.4120599043742838,2.402,1.209,1.987,71.33,1.697,42.043,0.009,1.372,0.006,0.6,2.152,0.279
