ExpDate,Current Stock Price,Current SP % Change(LAC),Maximum Pain,Bonsai Ratio,Bonsai Ratio 2,ITM OI,Total OI,Net_IV,Net ITM IV,Net IV MP,Net IV LAC,Net_IV/OI,Net ITM_IV/ITM_OI,ITM Contracts %,PCR-Vol,PCR-OI,PCR Vol/OI,ITM PCR-Vol,ITM PCR-OI,ITM PCR Vol/OI,PCR @MP-Vol,PCR @MP-OI,PCR @MP Vol/OI ,PCR @LAC-Vol,PCR @LAC-OI,PCR @LAC Vol/OI 
230421,36.4925,-0.4,35.0,0.051,0.08,14168.0,116549.0,-6.121,0.0,-0.25,0.004,-5.251900521722625e-05,7.763975155279512e-09,0.12156260456975178,2.265,1.547,1.464,1.05,0.17,6.185,4.143,1.586,2.613,2.607,0.638,4.086
230428,36.4925,-0.4,35.0,1.169,1.237,1777.0,10752.0,0.0,-0.0,-0.062,0.031,8.260587980841938e-20,-5.6274620146314e-09,0.16527157738095238,1.376,0.989,1.391,2.15,0.739,2.915,2.972,1.837,1.618,0.971,0.432,2.247
230505,36.4925,-0.4,35.0,0.072,0.212,925.0,9025.0,-0.687,0.0,-0.062,0.016,-7.617652354570642e-05,1.081081081081081e-08,0.10249307479224377,1.084,1.141,0.95,0.51,0.177,2.862,0.1,1.721,0.058,0.75,0.633,1.185
230512,36.4925,-0.4,50.0,1.812,0.646,309.0,756.0,0.625,-0.0,0.25,0.016,0.0008267113095238093,-9.708737864077673e-08,0.4087301587301587,1.588,1.005,1.58,1.38,2.09,0.662,1.5,1.344,1.116,1.167,0.455,2.567
230519,36.4925,-0.4,55.0,0.263,1.278,43060.0,184431.0,-1.925,-4.707,0.25,-0.031,-1.0439183298320654e-05,-0.00010930309341366875,0.23347484967277735,20.964,3.26,6.43,12.63,1.421,8.89,0.125,0.676,0.185,956.615,1.63,586.737
230526,36.4925,-0.4,35.0,1.411,0.91,99.0,227.0,-0.016,0.0,-0.031,-0.016,-6.883191079295153e-05,1.0101010101010105e-07,0.43612334801762115,0.412,0.097,4.262,1.33,0.042,31.667,0.5,0.22,2.269,2.0,0.083,24.0
230616,36.4925,-0.4,45.0,2.959,0.25,12970.0,49718.0,-8.436,-11.467,0.125,-0.031,-0.00016967745914103977,-0.0008841413724806643,0.26087131421215654,1.209,1.767,0.684,1.52,4.151,0.367,1.0,1.598,0.626,1.736,2.879,0.603
230818,36.4925,-0.4,55.0,2.722,1.198,10004.0,31996.0,-3.229,-5.119,0.125,-0.016,-0.00010091114748565976,-0.0005117382215814844,0.3126640830103763,1.579,1.823,0.866,0.97,8.095,0.12,5.0,1.138,4.392,0.016,2.474,0.007
231117,36.4925,-0.4,45.0,0.276,1.832,257.0,645.0,0.707,1.066,0.062,-0.016,0.0010954127642017932,0.0041475978177438,0.3984496124031008,1.667,1.867,0.893,0.25,3.431,0.073,1.0,1.331,0.751,3.0,2.683,1.118
240119,36.4925,-0.4,65.0,26.458,0.227,13476.0,75045.0,-5.875,-30.455,0.125,-0.016,-7.828884273033181e-05,-0.0022599241333596605,0.1795722566460124,1.289,1.257,1.026,6.96,6.16,1.13,1.0,1.314,0.761,9.0,1.097,8.208
250117,36.4925,-0.4,70.0,0.03,0.554,2908.0,30784.0,0.972,1.283,0.125,-0.008,3.157629203399849e-05,0.0004412092915656968,0.09446465696465696,0.768,4.434,0.173,0.21,0.489,0.429,0.012,0.42,0.029,0.5,4.105,0.122
250620,36.4925,-0.4,60.0,0.003,1.568,59.0,1862.0,-1.903,-0.432,-0.05,-0.772,-0.0010222437395368304,-0.007321983228780455,0.03168635875402793,7.694,29.525,0.261,0.5,1.185,0.422,1.0,7.0,0.143,1.0,0.905,1.105
251219,36.4925,-0.4,40.0,0.057,0.067,238.0,4088.0,-3.396,-1.893,0.016,-0.774,-0.0008306849473329904,-0.007951971425288869,0.05821917808219178,2.119,12.905,0.164,1.0,1.559,0.641,0.5,9.0,0.056,0.286,0.167,1.714
