,ExpDate,Strike,c_contractSymbol,c_lastTrade,c_lastTrade,Call_LastPrice,c_bid,c_ask,c_change,Call_PercentChange,Call_Volume,Call_OI,Call_IV,c_inTheMoney,c_lastTrade,c_lastTrade,Calls_dollarsFromStrike,Calls_dollarsFromStrikeXoi,Calls_lastPriceXoi,p_contractSymbol,p_lastTrade,p_lastTrade,Put_LastPrice,p_bid,p_ask,p_change,p_percentChange,Put_Volume,Put_OI,Put_IV,p_inTheMoney,p_lastTrade,p_lastTrade,Puts_dollarsFromStrike,Puts_dollarsFromStrikeXoi,Puts_lastPriceXoi
0,230421,45.0,AMZN230421C00045000,2023-04-20 19:39:37+00:00,230420_1939,58.55,0.0,0.0,0.0,0.0,1.0,105,1.0000000000000003e-05,True,2023-04-20 19:39:37+00:00,230420_1939,58.81,6175.05,6147.75,AMZN230421P00045000,2023-04-14 14:02:28+00:00,230414_1402,0.01,0.0,0.0,0.0,0.0,1.0,11946.0,0.500005,False,2023-04-14 14:02:28+00:00,230414_1402,58.81,702544.26,119.46000000000001
1,230421,50.0,AMZN230421C00050000,2023-04-19 17:38:27+00:00,230419_1738,54.95,0.0,0.0,0.0,0.0,1.0,113,1.0000000000000003e-05,True,2023-04-19 17:38:27+00:00,230419_1738,53.81,6080.530000000001,6209.35,AMZN230421P00050000,2023-04-17 13:57:51+00:00,230417_1357,0.01,0.0,0.0,0.0,0.0,2.0,2249.0,0.500005,False,2023-04-17 13:57:51+00:00,230417_1357,53.81,121018.69,22.490000000000002
2,230421,55.0,AMZN230421C00055000,2023-04-18 19:25:08+00:00,230418_1925,47.15,0.0,0.0,0.0,0.0,19.0,114,1.0000000000000003e-05,True,2023-04-18 19:25:08+00:00,230418_1925,48.81,5564.34,5375.099999999999,AMZN230421P00055000,2023-04-19 15:12:43+00:00,230419_1512,0.01,0.0,0.0,0.0,0.0,1.0,2141.0,0.500005,False,2023-04-19 15:12:43+00:00,230419_1512,48.81,104502.21,21.41
3,230421,60.0,AMZN230421C00060000,2023-04-19 18:10:04+00:00,230419_1810,44.8,0.0,0.0,0.0,0.0,1.0,235,1.0000000000000003e-05,True,2023-04-19 18:10:04+00:00,230419_1810,43.81,10295.35,10528.0,AMZN230421P00060000,2023-04-13 17:49:12+00:00,230413_1749,0.01,0.0,0.0,0.0,0.0,13.0,23249.0,0.500005,False,2023-04-13 17:49:12+00:00,230413_1749,43.81,1018538.6900000001,232.49
4,230421,65.0,AMZN230421C00065000,2023-04-17 14:27:31+00:00,230417_1427,38.12,0.0,0.0,0.0,0.0,16.0,279,1.0000000000000003e-05,True,2023-04-17 14:27:31+00:00,230417_1427,38.81,10827.99,10635.48,AMZN230421P00065000,2023-04-20 18:33:23+00:00,230420_1833,0.01,0.0,0.0,0.0,0.0,4.0,9350.0,0.500005,False,2023-04-20 18:33:23+00:00,230420_1833,38.81,362873.5,93.5
5,230421,70.0,AMZN230421C00070000,2023-04-20 18:12:12+00:00,230420_1812,34.21,0.0,0.0,0.0,0.0,30.0,164,1.0000000000000003e-05,True,2023-04-20 18:12:12+00:00,230420_1812,33.81,5544.84,5610.4400000000005,AMZN230421P00070000,2023-04-18 13:30:09+00:00,230418_1330,0.01,0.0,0.0,0.0,0.0,1.0,21027.0,0.500005,False,2023-04-18 13:30:09+00:00,230418_1330,33.81,710922.87,210.27
6,230421,75.0,AMZN230421C00075000,2023-04-20 18:13:40+00:00,230420_1813,29.15,0.0,0.0,0.0,0.0,5.0,596,1.0000000000000003e-05,True,2023-04-20 18:13:40+00:00,230420_1813,28.810000000000002,17170.760000000002,17373.399999999998,AMZN230421P00075000,2023-04-20 18:06:27+00:00,230420_1806,0.01,0.0,0.0,0.0,0.0,8.0,23939.0,0.500005,False,2023-04-20 18:06:27+00:00,230420_1806,28.810000000000002,689682.5900000001,239.39000000000001
7,230421,80.0,AMZN230421C00080000,2023-04-20 19:58:54+00:00,230420_1958,23.79,0.0,0.0,0.0,0.0,62.0,9763,1.0000000000000003e-05,True,2023-04-20 19:58:54+00:00,230420_1958,23.810000000000002,232457.03000000003,232261.77,AMZN230421P00080000,2023-04-20 19:39:29+00:00,230420_1939,0.01,0.0,0.0,0.0,0.0,120.0,33138.0,0.500005,False,2023-04-20 19:39:29+00:00,230420_1939,23.810000000000002,789015.78,331.38
8,230421,81.0,AMZN230421C00081000,2023-04-17 16:42:51+00:00,230417_1642,21.1,0.0,0.0,0.0,0.0,29.0,52,1.0000000000000003e-05,True,2023-04-17 16:42:51+00:00,230417_1642,22.810000000000002,1186.1200000000001,1097.2,AMZN230421P00081000,2023-04-20 19:44:55+00:00,230420_1944,0.01,0.0,0.0,0.0,0.0,100.0,2784.0,0.500005,False,2023-04-20 19:44:55+00:00,230420_1944,22.810000000000002,63503.04000000001,27.84
9,230421,82.0,AMZN230421C00082000,2023-04-18 18:50:20+00:00,230418_1850,19.65,0.0,0.0,0.0,0.0,7.0,35,1.0000000000000003e-05,True,2023-04-18 18:50:20+00:00,230418_1850,21.810000000000002,763.3500000000001,687.75,AMZN230421P00082000,2023-04-20 13:55:39+00:00,230420_1355,0.01,0.0,0.0,0.0,0.0,1.0,1400.0,0.500005,False,2023-04-20 13:55:39+00:00,230420_1355,21.810000000000002,30534.000000000004,14.0
10,230421,83.0,AMZN230421C00083000,2023-04-20 19:11:22+00:00,230420_1911,20.6,0.0,0.0,0.0,0.0,10.0,53,1.0000000000000003e-05,True,2023-04-20 19:11:22+00:00,230420_1911,20.810000000000002,1102.93,1091.8000000000002,AMZN230421P00083000,2023-04-20 17:16:07+00:00,230420_1716,0.01,0.0,0.0,0.0,0.0,2.0,1781.0,0.500005,False,2023-04-20 17:16:07+00:00,230420_1716,20.810000000000002,37062.61,17.81
11,230421,84.0,AMZN230421C00084000,2023-04-17 17:07:17+00:00,230417_1707,18.05,0.0,0.0,0.0,0.0,11.0,41,1.0000000000000003e-05,True,2023-04-17 17:07:17+00:00,230417_1707,19.810000000000002,812.21,740.0500000000001,AMZN230421P00084000,2023-04-20 13:58:43+00:00,230420_1358,0.01,0.0,0.0,0.0,0.0,10.0,2464.0,0.500005,False,2023-04-20 13:58:43+00:00,230420_1358,19.810000000000002,48811.840000000004,24.64
12,230421,85.0,AMZN230421C00085000,2023-04-20 19:39:46+00:00,230420_1939,18.6,0.0,0.0,0.0,0.0,56.0,5625,1.0000000000000003e-05,True,2023-04-20 19:39:46+00:00,230420_1939,18.810000000000002,105806.25000000001,104625.00000000001,AMZN230421P00085000,2023-04-20 19:52:11+00:00,230420_1952,0.01,0.0,0.0,0.0,0.0,32.0,25308.0,0.500005,False,2023-04-20 19:52:11+00:00,230420_1952,18.810000000000002,476043.48000000004,253.08
13,230421,86.0,AMZN230421C00086000,2023-04-20 16:06:37+00:00,230420_1606,17.93,0.0,0.0,0.0,0.0,1.0,65,1.0000000000000003e-05,True,2023-04-20 16:06:37+00:00,230420_1606,17.810000000000002,1157.65,1165.45,AMZN230421P00086000,2023-04-20 14:31:39+00:00,230420_1431,0.01,0.0,0.0,0.0,0.0,4.0,2066.0,0.500005,False,2023-04-20 14:31:39+00:00,230420_1431,17.810000000000002,36795.46000000001,20.66
14,230421,87.0,AMZN230421C00087000,2023-04-20 19:38:16+00:00,230420_1938,16.61,0.0,0.0,0.0,0.0,11.0,70,1.0000000000000003e-05,True,2023-04-20 19:38:16+00:00,230420_1938,16.810000000000002,1176.7000000000003,1162.7,AMZN230421P00087000,2023-04-20 16:20:42+00:00,230420_1620,0.01,0.0,0.0,0.0,0.0,11.0,2570.0,0.500005,False,2023-04-20 16:20:42+00:00,230420_1620,16.810000000000002,43201.700000000004,25.7
15,230421,88.0,AMZN230421C00088000,2023-04-20 15:43:04+00:00,230420_1543,16.24,0.0,0.0,0.0,0.0,3.0,68,1.0000000000000003e-05,True,2023-04-20 15:43:04+00:00,230420_1543,15.810000000000002,1075.0800000000002,1104.32,AMZN230421P00088000,2023-04-20 16:22:28+00:00,230420_1622,0.01,0.0,0.0,0.0,0.0,6.0,5253.0,0.500005,False,2023-04-20 16:22:28+00:00,230420_1622,15.810000000000002,83049.93000000001,52.53
16,230421,89.0,AMZN230421C00089000,2023-04-19 15:03:38+00:00,230419_1503,14.27,0.0,0.0,0.0,0.0,10.0,121,1.0000000000000003e-05,True,2023-04-19 15:03:38+00:00,230419_1503,14.810000000000002,1792.0100000000002,1726.6699999999998,AMZN230421P00089000,2023-04-20 14:36:26+00:00,230420_1436,0.03,0.0,0.0,0.0,0.0,5.0,3151.0,0.500005,False,2023-04-20 14:36:26+00:00,230420_1436,14.810000000000002,46666.310000000005,94.53
