,ExpDate,Strike,c_contractSymbol,c_lastTrade,c_lastTrade,Call_LastPrice,c_bid,c_ask,c_change,Call_PercentChange,Call_Volume,Call_OI,Call_IV,c_inTheMoney,c_lastTrade,c_lastTrade,Calls_dollarsFromStrike,Calls_dollarsFromStrikeXoi,Calls_lastPriceXoi,p_contractSymbol,p_lastTrade,p_lastTrade,Put_LastPrice,p_bid,p_ask,p_change,p_percentChange,Put_Volume,Put_OI,Put_IV,p_inTheMoney,p_lastTrade,p_lastTrade,Puts_dollarsFromStrike,Puts_dollarsFromStrikeXoi,Puts_lastPriceXoi
0,230421,100.0,GLD230421C00100000,2023-02-28 18:55:32+00:00,230228_1855,70.65,84.3,84.55,0.0,0.0,2.0,20,1.0000000000000003e-05,True,2023-02-28 18:55:32+00:00,230228_1855,-86.13999999999999,-1722.7999999999997,1413.0,GLD230421P00100000,2023-04-14 18:52:15+00:00,230414_1852,0.01,0.0,0.01,0.0,0.0,1.0,92,2.6250034375,False,2023-04-14 18:52:15+00:00,230414_1852,-86.13999999999999,-7924.879999999999,0.92
1,230421,105.0,GLD230421C00105000,2023-04-14 14:19:07+00:00,230414_1419,82.05,81.05,81.25,0.0,0.0,,4,2.56250359375,True,2023-04-14 14:19:07+00:00,230414_1419,-81.13999999999999,-324.55999999999995,328.2,GLD230421P00105000,2023-03-15 18:34:08+00:00,230315_1834,0.01,0.0,0.01,0.0,0.0,,200,2.43750390625,False,2023-03-15 18:34:08+00:00,230315_1834,-81.13999999999999,-16227.999999999996,2.0
2,230421,110.0,GLD230421C00110000,2023-02-21 17:12:49+00:00,230221_1712,61.3,75.55,75.8,0.0,0.0,,1,1.0000000000000003e-05,True,2023-02-21 17:12:49+00:00,230221_1712,-76.13999999999999,-76.13999999999999,61.3,GLD230421P00110000,2023-02-15 18:09:09+00:00,230215_1809,0.01,0.0,0.02,0.0,0.0,1.0,501,2.3750040624999995,False,2023-02-15 18:09:09+00:00,230215_1809,-76.13999999999999,-38146.13999999999,5.01
3,230421,115.0,GLD230421C00115000,2023-04-20 18:21:41+00:00,230420_1821,71.2,71.0,71.2,5.419998,8.239584,7.0,7,2.6250034375,True,2023-04-20 18:21:41+00:00,230420_1821,-71.13999999999999,-497.9799999999999,498.40000000000003,GLD230421P00115000,2023-02-23 19:03:36+00:00,230223_1903,0.01,0.0,0.01,0.0,0.0,,600,2.0625048437499998,False,2023-02-23 19:03:36+00:00,230223_1903,-71.13999999999999,-42683.99999999999,6.0
4,230421,120.0,GLD230421C00120000,2023-02-21 16:25:28+00:00,230221_1625,51.7,65.6,65.9,0.0,0.0,,20,1.0000000000000003e-05,True,2023-02-21 16:25:28+00:00,230221_1625,-66.13999999999999,-1322.7999999999997,1034.0,GLD230421P00120000,2023-03-17 19:28:28+00:00,230317_1928,0.02,0.0,0.01,0.0,0.0,20.0,32,1.875000625,False,2023-03-17 19:28:28+00:00,230317_1928,-66.13999999999999,-2116.4799999999996,0.64
5,230421,130.0,GLD230421C00130000,2023-04-11 18:25:31+00:00,230411_1825,56.58,56.0,56.25,0.0,0.0,1.0,0,2.1679733300781248,True,2023-04-11 18:25:31+00:00,230411_1825,-56.139999999999986,-0.0,0.0,GLD230421P00130000,2023-04-03 19:09:16+00:00,230403_1909,0.01,0.0,0.01,0.0,0.0,4.0,1312,1.5625021874999998,False,2023-04-03 19:09:16+00:00,230403_1909,-56.139999999999986,-73655.67999999998,13.120000000000001
6,230421,140.0,GLD230421C00140000,2023-04-20 19:03:10+00:00,230420_1903,46.4,46.05,46.25,7.220001,18.427773,7.0,36,1.3437532812499997,True,2023-04-20 19:03:10+00:00,230420_1903,-46.139999999999986,-1661.0399999999995,1670.3999999999999,GLD230421P00140000,2023-04-10 13:46:50+00:00,230410_1346,0.01,0.0,0.01,0.0,0.0,1.0,1200,1.2500037499999999,False,2023-04-10 13:46:50+00:00,230410_1346,-46.139999999999986,-55367.999999999985,12.0
7,230421,150.0,GLD230421C00150000,2023-04-10 19:34:33+00:00,230410_1934,35.35,36.05,36.25,0.0,0.0,2.0,73,1.0468797656250002,True,2023-04-10 19:34:33+00:00,230410_1934,-36.139999999999986,-2638.219999999999,2580.55,GLD230421P00150000,2023-04-05 16:26:26+00:00,230405_1626,0.01,0.0,0.01,0.0,0.0,5.0,242,0.9687503125,False,2023-04-05 16:26:26+00:00,230405_1626,-36.139999999999986,-8745.879999999997,2.42
8,230421,151.0,GLD230421C00151000,2023-02-23 20:13:32+00:00,230223_2013,19.8,33.1,33.45,0.0,0.0,1.0,65,1.0000000000000003e-05,True,2023-02-23 20:13:32+00:00,230223_2013,-35.139999999999986,-2284.099999999999,1287.0,GLD230421P00151000,2023-03-23 14:26:48+00:00,230323_1426,0.03,0.0,0.01,0.0,0.0,1.0,177,0.937500625,False,2023-03-23 14:26:48+00:00,230323_1426,-35.139999999999986,-6219.779999999998,5.31
9,230421,152.0,GLD230421C00152000,2023-04-13 14:00:39+00:00,230413_1400,38.3,34.05,34.25,0.0,0.0,10.0,99,0.98437515625,True,2023-04-13 14:00:39+00:00,230413_1400,-34.139999999999986,-3379.8599999999988,3791.7,GLD230421P00152000,2023-03-20 15:36:04+00:00,230320_1536,0.03,0.0,0.01,0.0,0.0,3.0,46,0.937500625,False,2023-03-20 15:36:04+00:00,230320_1536,-34.139999999999986,-1570.4399999999994,1.38
10,230421,153.0,GLD230421C00153000,2023-04-04 14:36:38+00:00,230404_1436,35.07,33.0,33.2,0.0,0.0,1.0,98,1.171879140625,True,2023-04-04 14:36:38+00:00,230404_1436,-33.139999999999986,-3247.7199999999984,3436.86,GLD230421P00153000,2023-04-12 13:35:10+00:00,230412_1335,0.01,0.0,0.01,0.0,0.0,1.0,649,0.9062509375,False,2023-04-12 13:35:10+00:00,230412_1335,-33.139999999999986,-21507.85999999999,6.49
11,230421,154.0,GLD230421C00154000,2023-04-03 19:08:17+00:00,230403_1908,30.75,32.0,32.2,0.0,0.0,1.0,72,1.1367230664062502,True,2023-04-03 19:08:17+00:00,230403_1908,-32.139999999999986,-2314.079999999999,2214.0,GLD230421P00154000,2023-04-10 18:31:34+00:00,230410_1831,0.02,0.0,0.01,0.0,0.0,3.0,379,0.87500125,False,2023-04-10 18:31:34+00:00,230410_1831,-32.139999999999986,-12181.059999999994,7.58
12,230421,155.0,GLD230421C00155000,2023-04-06 16:18:48+00:00,230406_1618,32.47,31.0,31.2,0.0,0.0,1.0,78,1.1015669921875002,True,2023-04-06 16:18:48+00:00,230406_1618,-31.139999999999986,-2428.919999999999,2532.66,GLD230421P00155000,2023-04-05 14:34:04+00:00,230405_1434,0.01,0.0,0.01,0.0,0.0,1.0,598,0.8437515624999999,False,2023-04-05 14:34:04+00:00,230405_1434,-31.139999999999986,-18621.71999999999,5.98
13,230421,156.0,GLD230421C00156000,2023-03-31 15:08:40+00:00,230331_1508,28.07,30.0,30.2,0.0,0.0,2.0,36,1.0703171484375003,True,2023-03-31 15:08:40+00:00,230331_1508,-30.139999999999986,-1085.0399999999995,1010.52,GLD230421P00156000,2023-04-14 13:33:40+00:00,230414_1333,0.01,0.0,0.01,0.0,0.0,2.0,180,0.8125018749999999,False,2023-04-14 13:33:40+00:00,230414_1333,-30.139999999999986,-5425.199999999997,1.8
14,230421,157.0,GLD230421C00157000,2023-04-18 13:30:25+00:00,230418_1330,28.44,29.05,29.25,0.0,0.0,30.0,101,0.8437515624999999,True,2023-04-18 13:30:25+00:00,230418_1330,-29.139999999999986,-2943.1399999999985,2872.44,GLD230421P00157000,2023-04-14 17:29:49+00:00,230414_1729,0.01,0.0,0.01,0.0,0.0,1.0,331,0.7812521875,False,2023-04-14 17:29:49+00:00,230414_1729,-29.139999999999986,-9645.339999999995,3.31
15,230421,158.0,GLD230421C00158000,2023-04-19 13:37:11+00:00,230419_1337,26.98,28.0,28.2,0.0,0.0,2.0,75,1.000005,True,2023-04-19 13:37:11+00:00,230419_1337,-28.139999999999986,-2110.499999999999,2023.5,GLD230421P00158000,2023-04-20 16:18:26+00:00,230420_1618,0.01,0.0,0.01,-0.01,-50.0,4.0,288,0.7500025,False,2023-04-20 16:18:26+00:00,230420_1618,-28.139999999999986,-8104.319999999996,2.88
16,230421,159.0,GLD230421C00159000,2023-04-05 13:30:24+00:00,230405_1330,29.69,27.0,27.3,0.0,0.0,3.0,112,0.7812521875,True,2023-04-05 13:30:24+00:00,230405_1330,-27.139999999999986,-3039.6799999999985,3325.28,GLD230421P00159000,2023-04-19 16:02:24+00:00,230419_1602,0.01,0.0,0.01,0.0,0.0,2.0,2724,0.73437765625,False,2023-04-19 16:02:24+00:00,230419_1602,-27.139999999999986,-73929.35999999996,27.240000000000002
