,ExpDate,Strike,c_contractSymbol,c_lastTrade,c_lastTrade,Call_LastPrice,c_bid,c_ask,c_change,Call_PercentChange,Call_Volume,Call_OI,Call_IV,c_inTheMoney,c_lastTrade,c_lastTrade,Calls_dollarsFromStrike,Calls_dollarsFromStrikeXoi,Calls_lastPriceXoi,p_contractSymbol,p_lastTrade,p_lastTrade,Put_LastPrice,p_bid,p_ask,p_change,p_percentChange,Put_Volume,Put_OI,Put_IV,p_inTheMoney,p_lastTrade,p_lastTrade,Puts_dollarsFromStrike,Puts_dollarsFromStrikeXoi,Puts_lastPriceXoi
0,230421,0.5,GOEV230421C00000500,2023-04-20 19:02:01+00:00,230420_1902,0.27,0.0,0.0,0.0,0.0,91,168,1.0000000000000003e-05,True,2023-04-20 19:02:01+00:00,230420_1902,0.2752,46.2336,45.36,GOEV230421P00000500,2023-04-18 13:48:32+00:00,230418_1348,0.01,0.0,0.0,0.0,0.0,12.0,9855,1.000005,False,2023-04-18 13:48:32+00:00,230418_1348,0.2752,2712.096,98.55
1,230421,1.0,GOEV230421C00001000,2023-04-20 19:41:05+00:00,230420_1941,0.01,0.0,0.0,0.0,0.0,343,9170,0.500005,False,2023-04-20 19:41:05+00:00,230420_1941,0.2248,2061.416,91.7,GOEV230421P00001000,2023-04-20 19:43:06+00:00,230420_1943,0.23,0.0,0.0,0.0,0.0,103.0,406,1.0000000000000003e-05,True,2023-04-20 19:43:06+00:00,230420_1943,0.2248,91.2688,93.38000000000001
2,230421,1.5,GOEV230421C00001500,2023-04-20 14:21:28+00:00,230420_1421,0.01,0.0,0.0,0.0,0.0,18,4943,0.500005,False,2023-04-20 14:21:28+00:00,230420_1421,0.7248,3582.6864,49.43,GOEV230421P00001500,2023-04-18 14:50:03+00:00,230418_1450,0.77,0.0,0.0,0.0,0.0,1.0,5,1.0000000000000003e-05,True,2023-04-18 14:50:03+00:00,230418_1450,0.7248,3.624,3.85
3,230428,0.5,GOEV230428C00000500,2023-04-20 19:45:40+00:00,230420_1945,0.25,0.0,0.0,0.0,0.0,82,193,1.0000000000000003e-05,True,2023-04-20 19:45:40+00:00,230420_1945,0.2752,53.1136,48.25,GOEV230428P00000500,2023-04-20 17:10:48+00:00,230420_1710,0.01,0.0,0.0,0.0,0.0,15.0,735,0.500005,False,2023-04-20 17:10:48+00:00,230420_1710,0.2752,202.272,7.3500000000000005
4,230428,1.0,GOEV230428C00001000,2023-04-20 19:51:53+00:00,230420_1951,0.02,0.0,0.0,0.0,0.0,3065,5211,0.500005,False,2023-04-20 19:51:53+00:00,230420_1951,0.2248,1171.4328,104.22,GOEV230428P00001000,2023-04-20 16:42:39+00:00,230420_1642,0.29,0.0,0.0,0.0,0.0,1.0,7,1.0000000000000003e-05,True,2023-04-20 16:42:39+00:00,230420_1642,0.2248,1.5735999999999999,2.03
5,230505,0.5,GOEV230505C00000500,2023-04-20 14:05:38+00:00,230420_1405,0.31,0.0,0.0,0.0,0.0,3,49,1.0000000000000003e-05,True,2023-04-20 14:05:38+00:00,230420_1405,0.2752,13.4848,15.19,GOEV230505P00000500,2023-04-20 14:26:36+00:00,230420_1426,0.01,0.0,0.0,0.0,0.0,2.0,485,0.500005,False,2023-04-20 14:26:36+00:00,230420_1426,0.2752,133.472,4.8500000000000005
6,230505,1.0,GOEV230505C00001000,2023-04-20 18:26:20+00:00,230420_1826,0.02,0.0,0.0,0.0,0.0,91,1202,0.500005,False,2023-04-20 18:26:20+00:00,230420_1826,0.2248,270.2096,24.04,GOEV230505P00001000,2023-04-20 19:57:15+00:00,230420_1957,1.0,0.0,0.0,0.0,0.0,4.0,6,1.0000000000000003e-05,True,2023-04-20 19:57:15+00:00,230420_1957,0.2248,1.3488,6.0
7,230512,0.5,GOEV230512C00000500,2023-04-17 17:44:44+00:00,230417_1744,0.26,0.0,0.0,0.0,0.0,17,129,1.0000000000000003e-05,True,2023-04-17 17:44:44+00:00,230417_1744,0.2752,35.5008,33.54,GOEV230512P00000500,2023-04-20 14:26:41+00:00,230420_1426,0.05,0.0,0.0,0.0,0.0,75.0,187,0.500005,False,2023-04-20 14:26:41+00:00,230420_1426,0.2752,51.4624,9.35
8,230512,1.0,GOEV230512C00001000,2023-04-20 19:59:59+00:00,230420_1959,0.03,0.0,0.0,0.0,0.0,287,885,0.500005,False,2023-04-20 19:59:59+00:00,230420_1959,0.2248,198.948,26.55,GOEV230512P00001000,2023-04-20 14:34:43+00:00,230420_1434,0.28,0.0,0.0,0.0,0.0,1.0,14,1.0000000000000003e-05,True,2023-04-20 14:34:43+00:00,230420_1434,0.2248,3.1471999999999998,3.9200000000000004
9,230519,0.5,GOEV230519C00000500,2023-04-20 19:43:39+00:00,230420_1943,0.28,0.0,0.0,0.0,0.0,532,9587,1.0000000000000003e-05,True,2023-04-20 19:43:39+00:00,230420_1943,0.2752,2638.3424,2684.36,GOEV230519P00000500,2023-04-20 19:58:11+00:00,230420_1958,0.03,0.0,0.0,0.0,0.0,168.0,1336,0.500005,False,2023-04-20 19:58:11+00:00,230420_1958,0.2752,367.6672,40.08
10,230519,1.0,GOEV230519C00001000,2023-04-20 19:51:52+00:00,230420_1951,0.04,0.0,0.0,0.0,0.0,807,19729,0.2500075,False,2023-04-20 19:51:52+00:00,230420_1951,0.2248,4435.0792,789.16,GOEV230519P00001000,2023-04-20 19:21:17+00:00,230420_1921,0.3,0.0,0.0,0.0,0.0,32.0,14580,1.0000000000000003e-05,True,2023-04-20 19:21:17+00:00,230420_1921,0.2248,3277.584,4374.0
