,ExpDate,Strike,c_contractSymbol,c_lastTrade,c_lastTrade,Call_LastPrice,c_bid,c_ask,c_change,Call_PercentChange,Call_Volume,Call_OI,Call_IV,c_inTheMoney,c_lastTrade,c_lastTrade,Calls_dollarsFromStrike,Calls_dollarsFromStrikeXoi,Calls_lastPriceXoi,p_contractSymbol,p_lastTrade,p_lastTrade,Put_LastPrice,p_bid,p_ask,p_change,p_percentChange,Put_Volume,Put_OI,Put_IV,p_inTheMoney,p_lastTrade,p_lastTrade,Puts_dollarsFromStrike,Puts_dollarsFromStrikeXoi,Puts_lastPriceXoi
0,230420,354.0,SPY230420C00354000,2023-04-17 19:59:44+00:00,230417_1959,59.94,56.69,56.84,0.0,0.0,1.0,1,1.1171919140625,True,2023-04-17 19:59:44+00:00,230417_1959,-56.728999999999985,-56.728999999999985,59.94,SPY230420P00354000,2023-04-14 17:08:25+00:00,230414_1708,0.03,0.0,0.01,0.0,0.0,,50.0,0.9062509375,False,2023-04-14 17:08:25+00:00,230414_1708,56.728999999999985,2836.4499999999994,1.5
1,230420,374.0,SPY230420C00374000,2023-04-20 15:05:02+00:00,230420_1505,38.45,36.63,36.81,1.9599991,5.3713317,5.0,5,0.8183611914062499,True,2023-04-20 15:05:02+00:00,230420_1505,-36.728999999999985,-183.64499999999992,192.25,SPY230420P00374000,2023-04-19 20:12:14+00:00,230419_2012,0.01,0.0,0.01,0.0,0.0,11.0,37.0,0.5937540625000001,False,2023-04-19 20:12:14+00:00,230419_2012,36.728999999999985,1358.9729999999995,0.37
2,230420,379.0,SPY230420C00379000,2023-04-20 19:17:14+00:00,230420_1917,31.59,31.65,31.81,2.0100002,6.795133,2.0,2,0.51562984375,True,2023-04-20 19:17:14+00:00,230420_1917,-31.728999999999985,-63.45799999999997,63.18,SPY230420P00379000,2023-04-18 19:58:26+00:00,230418_1958,0.02,0.0,0.01,0.0,0.0,718.0,2058.0,0.51562984375,False,2023-04-18 19:58:26+00:00,230418_1958,31.728999999999985,65298.28199999997,41.160000000000004
3,230420,380.0,SPY230420C00380000,2023-04-20 19:30:13+00:00,230420_1930,30.54,30.7,30.85,-3.959999,-11.478258,4.0,28,0.648441015625,True,2023-04-20 19:30:13+00:00,230420_1930,-30.728999999999985,-860.4119999999996,855.12,SPY230420P00380000,2023-04-20 18:38:15+00:00,230420_1838,0.01,0.0,0.01,0.0,0.0,1.0,5122.0,0.500005,False,2023-04-20 18:38:15+00:00,230420_1838,30.728999999999985,157393.93799999994,51.22
4,230420,383.0,SPY230420C00383000,2023-04-20 19:30:23+00:00,230420_1930,27.59,27.72,27.9,-1.6599998,-5.6752133,15.0,12,0.6347692773437501,True,2023-04-20 19:30:23+00:00,230420_1930,-27.728999999999985,-332.7479999999998,331.08,SPY230420P00383000,2023-04-19 19:21:03+00:00,230419_1921,0.01,0.0,0.01,0.0,0.0,21.0,167.0,0.49219257812500006,False,2023-04-19 19:21:03+00:00,230419_1921,27.728999999999985,4630.742999999998,1.67
5,230420,384.0,SPY230420C00384000,2023-04-20 13:36:48+00:00,230420_1336,27.72,26.7,26.87,-1.1000004,-3.8167953,2.0,7,0.585941640625,True,2023-04-20 13:36:48+00:00,230420_1336,-26.728999999999985,-187.1029999999999,194.04,SPY230420P00384000,2023-04-19 16:43:10+00:00,230419_1643,0.02,0.0,0.01,0.0,0.0,129.0,140.0,0.476567734375,False,2023-04-19 16:43:10+00:00,230419_1643,26.728999999999985,3742.0599999999977,2.8000000000000003
6,230420,387.0,SPY230420C00387000,2023-04-18 14:02:13+00:00,230418_1402,27.72,23.64,23.81,0.0,0.0,1.0,1,0.55273884765625,True,2023-04-18 14:02:13+00:00,230418_1402,-23.728999999999985,-23.728999999999985,27.72,SPY230420P00387000,2023-04-19 17:52:43+00:00,230419_1752,0.02,0.0,0.01,0.0,0.0,1551.0,1657.0,0.42188078125,False,2023-04-19 17:52:43+00:00,230419_1752,23.728999999999985,39318.95299999997,33.14
7,230420,388.0,SPY230420C00388000,2023-04-20 15:37:53+00:00,230420_1537,24.12,22.69,22.85,-2.1099987,-8.04422,1.0,8,0.5664105859375,True,2023-04-20 15:37:53+00:00,230420_1537,-22.728999999999985,-181.83199999999988,192.96,SPY230420P00388000,2023-04-20 16:33:05+00:00,230420_1633,0.01,0.0,0.01,0.0,0.0,101.0,7277.0,0.4062559375,False,2023-04-20 16:33:05+00:00,230420_1633,22.728999999999985,165398.9329999999,72.77
8,230420,389.0,SPY230420C00389000,2023-04-20 14:03:50+00:00,230420_1403,22.83,21.8,21.96,-2.6900005,-10.540754,3.0,107,0.5664105859375,True,2023-04-20 14:03:50+00:00,230420_1403,-21.728999999999985,-2325.0029999999983,2442.81,SPY230420P00389000,2023-04-20 19:30:09+00:00,230420_1930,0.01,0.0,0.01,-0.01,-50.0,21.0,1038.0,0.39063109375,False,2023-04-20 19:30:09+00:00,230420_1930,21.728999999999985,22554.701999999983,10.38
9,230420,390.0,SPY230420C00390000,2023-04-20 19:28:15+00:00,230420_1928,20.34,20.65,20.81,-3.869999,-15.985126,19.0,38,0.49219257812500006,True,2023-04-20 19:28:15+00:00,230420_1928,-20.728999999999985,-787.7019999999994,772.92,SPY230420P00390000,2023-04-20 16:49:01+00:00,230420_1649,0.01,0.0,0.01,-0.01,-50.0,11.0,874.0,0.37500625,False,2023-04-20 16:49:01+00:00,230420_1649,20.728999999999985,18117.145999999986,8.74
10,230420,391.0,SPY230420C00391000,2023-04-20 16:38:20+00:00,230420_1638,21.86,19.62,19.78,0.12000084,0.5519818,1.0,7,0.4414118359375,True,2023-04-20 16:38:20+00:00,230420_1638,-19.728999999999985,-138.1029999999999,153.01999999999998,SPY230420P00391000,2023-04-20 16:24:19+00:00,230420_1624,0.01,0.0,0.01,-0.01,-50.0,3.0,131.0,0.35938140625,False,2023-04-20 16:24:19+00:00,230420_1624,19.728999999999985,2584.498999999998,1.31
11,230420,392.0,SPY230420C00392000,2023-04-19 19:18:28+00:00,230419_1918,22.71,18.71,18.87,0.0,0.0,22.0,11,0.4931691308593751,True,2023-04-19 19:18:28+00:00,230419_1918,-18.728999999999985,-206.01899999999983,249.81,SPY230420P00392000,2023-04-20 18:05:19+00:00,230420_1805,0.01,0.0,0.01,-0.01,-50.0,4.0,428.0,0.3437565625,False,2023-04-20 18:05:19+00:00,230420_1805,18.728999999999985,8016.011999999993,4.28
12,230420,393.0,SPY230420C00393000,2023-04-20 18:06:39+00:00,230420_1806,19.91,17.62,17.96,-1.25,-5.9073725,3.0,18,0.516606396484375,True,2023-04-20 18:06:39+00:00,230420_1806,-17.728999999999985,-319.12199999999973,358.38,SPY230420P00393000,2023-04-20 18:39:01+00:00,230420_1839,0.01,0.0,0.01,-0.01,-50.0,20.0,285.0,0.3242255078124999,False,2023-04-20 18:39:01+00:00,230420_1839,17.728999999999985,5052.764999999996,2.85
13,230420,394.0,SPY230420C00394000,2023-04-20 19:21:13+00:00,230420_1921,16.5,16.64,16.81,-3.6200008,-17.99205,32.0,49,0.40820904296875,True,2023-04-20 19:21:13+00:00,230420_1921,-16.728999999999985,-819.7209999999993,808.5,SPY230420P00394000,2023-04-20 15:18:35+00:00,230420_1518,0.01,0.0,0.01,-0.01,-50.0,2.0,1503.0,0.304694453125,False,2023-04-20 15:18:35+00:00,230420_1518,16.728999999999985,25143.686999999976,15.030000000000001
14,230420,395.0,SPY230420C00395000,2023-04-20 14:28:04+00:00,230420_1428,17.41,15.62,15.78,-2.1100006,-10.809429,17.0,17,0.36133451171875,True,2023-04-20 14:28:04+00:00,230420_1428,-15.728999999999985,-267.39299999999974,295.97,SPY230420P00395000,2023-04-20 17:50:46+00:00,230420_1750,0.01,0.0,0.01,-0.01,-50.0,22.0,478.0,0.2890696093749999,False,2023-04-20 17:50:46+00:00,230420_1750,15.728999999999985,7518.461999999993,4.78
15,230420,396.0,SPY230420C00396000,2023-04-20 18:32:10+00:00,230420_1832,15.88,14.67,14.84,-2.8000002,-14.989295,11.0,13,0.38672488281249995,True,2023-04-20 18:32:10+00:00,230420_1832,-14.728999999999985,-191.4769999999998,206.44,SPY230420P00396000,2023-04-20 14:33:21+00:00,230420_1433,0.01,0.0,0.01,-0.02,-66.66667,8.0,1162.0,0.273444765625,False,2023-04-20 14:33:21+00:00,230420_1433,14.728999999999985,17115.097999999984,11.620000000000001
16,230420,397.0,SPY230420C00397000,2023-04-20 17:51:52+00:00,230420_1751,16.43,13.69,13.85,-0.8199997,-4.7536216,4.0,107,0.370123486328125,True,2023-04-20 17:51:52+00:00,230420_1751,-13.728999999999985,-1469.0029999999983,1758.01,SPY230420P00397000,2023-04-20 19:30:27+00:00,230420_1930,0.01,0.0,0.01,-0.02,-66.66667,39.0,6863.0,0.257819921875,False,2023-04-20 19:30:27+00:00,230420_1930,13.728999999999985,94222.12699999989,68.63
17,230420,398.0,SPY230420C00398000,2023-04-20 19:28:16+00:00,230420_1928,12.37,12.8,12.96,-3.9299994,-24.110426,14.0,18,0.39551385742187506,True,2023-04-20 19:28:16+00:00,230420_1928,-12.728999999999985,-229.12199999999973,222.66,SPY230420P00398000,2023-04-20 19:33:41+00:00,230420_1933,0.01,0.0,0.01,-0.02,-66.66667,1795.0,8558.0,0.242195078125,False,2023-04-20 19:33:41+00:00,230420_1933,12.728999999999985,108934.78199999988,85.58
18,230420,399.0,SPY230420C00399000,2023-04-20 19:23:39+00:00,230420_1923,11.56,11.62,11.78,-3.6099997,-23.796965,30.0,36,0.28125718749999995,True,2023-04-20 19:23:39+00:00,230420_1923,-11.728999999999985,-422.24399999999946,416.16,SPY230420P00399000,2023-04-20 19:25:45+00:00,230420_1925,0.01,0.0,0.01,-0.02,-66.66667,2423.0,2055.0,0.22266402343749997,False,2023-04-20 19:25:45+00:00,230420_1925,11.728999999999985,24103.09499999997,20.55
19,230420,400.0,SPY230420C00400000,2023-04-20 19:29:02+00:00,230420_1929,10.38,10.73,10.91,-3.7799997,-26.694914,1107.0,977,0.32813171874999997,True,2023-04-20 19:29:02+00:00,230420_1929,-10.728999999999985,-10482.232999999986,10141.26,SPY230420P00400000,2023-04-20 19:30:23+00:00,230420_1930,0.01,0.0,0.01,-0.02,-66.66667,2751.0,36783.0,0.20703917968749996,False,2023-04-20 19:30:23+00:00,230420_1930,10.728999999999985,394644.80699999945,367.83
20,230420,401.0,SPY230420C00401000,2023-04-20 19:29:02+00:00,230420_1929,9.38,9.73,9.87,-3.8099995,-28.885515,926.0,803,0.2876047802734374,True,2023-04-20 19:29:02+00:00,230420_1929,-9.728999999999985,-7812.386999999988,7532.14,SPY230420P00401000,2023-04-20 19:32:45+00:00,230420_1932,0.01,0.0,0.01,-0.02,-66.66667,2473.0,4338.0,0.187508125,False,2023-04-20 19:32:45+00:00,230420_1932,9.728999999999985,42204.40199999994,43.38
21,230420,402.0,SPY230420C00402000,2023-04-20 19:30:27+00:00,230420_1930,8.62,8.77,8.93,-3.96,-31.478537,92.0,89,0.28516339843749994,True,2023-04-20 19:30:27+00:00,230420_1930,-8.728999999999985,-776.8809999999987,767.18,SPY230420P00402000,2023-04-20 19:30:21+00:00,230420_1930,0.01,0.0,0.01,-0.03,-75.0,17923.0,7212.0,0.17188328125000002,False,2023-04-20 19:30:21+00:00,230420_1930,8.728999999999985,62953.54799999989,72.12
22,230420,403.0,SPY230420C00403000,2023-04-20 19:14:41+00:00,230420_1914,7.73,7.82,7.93,-4.06,-34.435963,78.0,188,0.25977302734375,True,2023-04-20 19:14:41+00:00,230420_1914,-7.728999999999985,-1453.0519999999972,1453.24,SPY230420P00403000,2023-04-20 19:30:56+00:00,230420_1930,0.02,0.0,0.01,-0.02,-50.0,5008.0,2597.0,0.15235222656250003,False,2023-04-20 19:30:56+00:00,230420_1930,7.728999999999985,20072.21299999996,51.94
23,230420,404.0,SPY230420C00404000,2023-04-20 19:28:42+00:00,230420_1928,6.3,6.76,6.9,-4.5599995,-41.988945,426.0,253,0.22461712890624996,True,2023-04-20 19:28:42+00:00,230420_1928,-6.728999999999985,-1702.4369999999963,1593.8999999999999,SPY230420P00404000,2023-04-20 19:33:26+00:00,230420_1933,0.01,0.01,0.02,-0.04,-79.99999,6363.0,3908.0,0.148446015625,False,2023-04-20 19:33:26+00:00,230420_1933,6.728999999999985,26296.931999999942,39.08
24,230420,405.0,SPY230420C00405000,2023-04-20 19:34:13+00:00,230420_1934,5.95,5.8,5.9,-3.2399998,-35.25571,1582.0,1943,0.1992267578125,True,2023-04-20 19:34:13+00:00,230420_1934,-5.728999999999985,-11131.446999999971,11560.85,SPY230420P00405000,2023-04-20 19:31:45+00:00,230420_1931,0.01,0.01,0.02,-0.03,-75.0,7710.0,4859.0,0.13086806640624998,False,2023-04-20 19:31:45+00:00,230420_1931,5.728999999999985,27837.210999999927,48.59
25,230420,406.0,SPY230420C00406000,2023-04-20 19:30:17+00:00,230420_1930,4.61,4.83,4.94,-3.3199997,-41.86633,1954.0,1316,0.18262536132812499,True,2023-04-20 19:30:17+00:00,230420_1930,-4.728999999999985,-6223.3639999999805,6066.76,SPY230420P00406000,2023-04-20 19:32:10+00:00,230420_1932,0.01,0.01,0.02,-0.04,-79.99999,9712.0,9885.0,0.11036045898437499,False,2023-04-20 19:32:10+00:00,230420_1932,4.728999999999985,46746.16499999985,98.85000000000001
26,230420,407.0,SPY230420C00407000,2023-04-20 19:30:15+00:00,230420_1930,3.55,3.89,3.99,-3.68,-50.899033,926.0,1284,0.165047412109375,True,2023-04-20 19:30:15+00:00,230420_1930,-3.728999999999985,-4788.035999999981,4558.2,SPY230420P00407000,2023-04-20 19:33:40+00:00,230420_1933,0.01,0.01,0.02,-0.049999997,-83.33333,17528.0,8254.0,0.0898528515625,False,2023-04-20 19:33:40+00:00,230420_1933,3.728999999999985,30779.165999999877,82.54
27,230420,408.0,SPY230420C00408000,2023-04-20 19:33:04+00:00,230420_1933,2.71,2.89,2.99,-3.5700002,-56.847137,3104.0,2496,0.13428600097656251,True,2023-04-20 19:33:04+00:00,230420_1933,-2.728999999999985,-6811.5839999999625,6764.16,SPY230420P00408000,2023-04-20 19:34:14+00:00,230420_1934,0.01,0.01,0.02,-0.07,-87.5,47988.0,7772.0,0.06934524414062501,False,2023-04-20 19:34:14+00:00,230420_1934,2.728999999999985,21209.787999999884,77.72
28,230420,409.0,SPY230420C00409000,2023-04-20 19:33:54+00:00,230420_1933,1.89,1.81,1.84,-3.58,-65.4479,4039.0,1702,0.07471628417968751,True,2023-04-20 19:33:54+00:00,230420_1933,-1.728999999999985,-2942.7579999999743,3216.7799999999997,SPY230420P00409000,2023-04-20 19:33:57+00:00,230420_1933,0.03,0.03,0.04,-0.089999996,-75.0,90170.0,8829.0,0.055673505859375,False,2023-04-20 19:33:57+00:00,230420_1933,1.728999999999985,15265.340999999868,264.87
29,230420,410.0,SPY230420C00410000,2023-04-20 19:34:14+00:00,230420_1934,1.05,0.95,0.98,-3.03,-74.2647,38514.0,3698,0.06324178955078125,True,2023-04-20 19:34:14+00:00,230420_1934,-0.728999999999985,-2695.8419999999446,3882.9,SPY230420P00410000,2023-04-20 19:34:15+00:00,230420_1934,0.1,0.1,0.11,-0.080000006,-44.444447,228867.0,12087.0,0.0424900439453125,False,2023-04-20 19:34:15+00:00,230420_1934,0.728999999999985,8811.422999999819,1208.7
30,230420,411.0,SPY230420C00411000,2023-04-20 19:34:16+00:00,230420_1934,0.35,0.27,0.28,-2.99,-89.52096,162230.0,2918,0.04688453125,False,2023-04-20 19:34:16+00:00,230420_1934,0.271000000000015,790.7780000000438,1021.3,SPY230420P00411000,2023-04-20 19:34:13+00:00,230420_1934,0.4,0.47,0.48,0.110000014,37.93104,436256.0,16006.0,0.03785141845703125,True,2023-04-20 19:34:13+00:00,230420_1934,-0.271000000000015,-4337.62600000024,6402.400000000001
