,ExpDate,Strike,c_contractSymbol,c_lastTrade,c_lastTrade,Call_LastPrice,c_bid,c_ask,c_change,Call_PercentChange,Call_Volume,Call_OI,Call_IV,c_inTheMoney,c_lastTrade,c_lastTrade,Calls_dollarsFromStrike,Calls_dollarsFromStrikeXoi,Calls_lastPriceXoi,p_contractSymbol,p_lastTrade,p_lastTrade,Put_LastPrice,p_bid,p_ask,p_change,p_percentChange,Put_Volume,Put_OI,Put_IV,p_inTheMoney,p_lastTrade,p_lastTrade,Puts_dollarsFromStrike,Puts_dollarsFromStrikeXoi,Puts_lastPriceXoi
0,230421,5.0,TSLA230421C00005000,2023-04-20 14:08:02+00:00,230420_1408,163.0,157.25,158.55,-16.949997,-9.419282,21,5,26.21875180664063,True,2023-04-20 14:08:02+00:00,230420_1408,175.59,877.95,815.0,TSLA230421P00005000,2023-04-20 14:40:10+00:00,230420_1440,0.01,0.0,0.01,0.0,0.0,14.0,337,14.500000937500001,False,2023-04-20 14:40:10+00:00,230420_1440,175.59,59173.83,3.37
1,230421,10.0,TSLA230421C00010000,2023-04-20 14:11:55+00:00,230420_1411,158.2,152.5,153.6,-14.25,-8.263265,7,3,14.625000859375001,True,2023-04-20 14:11:55+00:00,230420_1411,170.59,511.77,474.59999999999997,TSLA230421P00010000,2023-04-04 15:49:03+00:00,230404_1549,0.01,0.0,0.0,0.0,0.0,278.0,288,0.500005,False,2023-04-04 15:49:03+00:00,230404_1549,170.59,49129.92,2.88
2,230421,15.0,TSLA230421C00015000,2023-04-20 13:31:51+00:00,230420_1331,150.85,147.25,148.55,-16.799988,-10.02087,3,3,16.81250474609375,True,2023-04-20 13:31:51+00:00,230420_1331,165.59,496.77,452.54999999999995,TSLA230421P00015000,2023-04-04 13:38:32+00:00,230404_1338,0.01,0.0,0.01,0.0,0.0,8.0,51,10.000003750000001,False,2023-04-04 13:38:32+00:00,230404_1338,165.59,8445.09,0.51
3,230421,20.0,TSLA230421C00020000,2023-04-20 14:15:46+00:00,230420_1415,148.0,142.25,143.55,-28.0,-15.909091,5,10,14.65625083984375,True,2023-04-20 14:15:46+00:00,230420_1415,160.59,1605.9,1480.0,TSLA230421P00020000,2023-04-04 14:32:15+00:00,230404_1432,0.01,0.0,0.01,0.0,0.0,8.0,456,8.75000453125,False,2023-04-04 14:32:15+00:00,230404_1432,160.59,73229.04000000001,4.5600000000000005
4,230421,25.0,TSLA230421C00025000,2023-04-20 14:33:45+00:00,230420_1433,142.7,137.25,138.35,-11.300003,-7.337664,22,6,12.164064897460937,True,2023-04-20 14:33:45+00:00,230420_1433,155.59,933.54,856.1999999999999,TSLA230421P00025000,2023-04-18 17:50:57+00:00,230418_1750,0.01,0.0,0.0,0.0,0.0,1.0,2495,0.500005,False,2023-04-18 17:50:57+00:00,230418_1750,155.59,388197.05,24.95
5,230421,30.0,TSLA230421C00030000,2023-04-20 14:49:05+00:00,230420_1449,137.4,132.25,133.55,-39.78,-22.451744,1,6,11.773440141601563,True,2023-04-20 14:49:05+00:00,230420_1449,150.59,903.54,824.4000000000001,TSLA230421P00030000,2023-04-19 14:40:21+00:00,230419_1440,0.01,0.0,0.0,0.0,0.0,1.0,5280,0.500005,False,2023-04-19 14:40:21+00:00,230419_1440,150.59,795115.2000000001,52.800000000000004
6,230421,35.0,TSLA230421C00035000,2023-03-02 14:56:52+00:00,230302_1456,155.85,171.8,173.35,0.0,0.0,1,5,0.0,True,2023-03-02 14:56:52+00:00,230302_1456,145.59,727.95,779.25,TSLA230421P00035000,2023-03-24 15:15:57+00:00,230324_1515,0.01,0.0,0.0,0.0,0.0,14.0,1280,0.500005,False,2023-03-24 15:15:57+00:00,230324_1515,145.59,186355.2,12.8
7,230421,40.0,TSLA230421C00040000,2023-04-20 19:50:53+00:00,230420_1950,122.0,122.25,123.35,-41.100006,-25.199266,6,11,9.140629287109373,True,2023-04-20 19:50:53+00:00,230420_1950,140.59,1546.49,1342.0,TSLA230421P00040000,2023-04-19 13:32:06+00:00,230419_1332,0.01,0.0,0.01,0.0,0.0,2.0,3639,5.7500028125,False,2023-04-19 13:32:06+00:00,230419_1332,140.59,511607.01,36.39
8,230421,45.0,TSLA230421C00045000,2023-04-03 13:55:31+00:00,230403_1355,153.05,117.25,118.35,0.0,0.0,2,3,8.39844225097656,True,2023-04-03 13:55:31+00:00,230403_1355,135.59,406.77,459.15000000000003,TSLA230421P00045000,2023-04-12 13:34:35+00:00,230412_1334,0.01,0.0,0.0,0.0,0.0,1.0,1491,0.500005,False,2023-04-12 13:34:35+00:00,230412_1334,135.59,202164.69,14.91
9,230421,50.0,TSLA230421C00050000,2023-04-20 17:49:21+00:00,230420_1749,113.75,112.25,113.35,-21.449997,-15.865382,21,169,7.742187822265626,True,2023-04-20 17:49:21+00:00,230420_1749,130.59,22069.71,19223.75,TSLA230421P00050000,2023-04-19 13:30:02+00:00,230419_1330,0.01,0.0,0.01,0.0,0.0,1.0,14323,4.875003906249999,False,2023-04-19 13:30:02+00:00,230419_1330,130.59,1870440.57,143.23
10,230421,55.0,TSLA230421C00055000,2023-04-20 14:32:40+00:00,230420_1432,112.44,107.25,108.35,-20.809998,-15.617259,1,17,7.152344809570314,True,2023-04-20 14:32:40+00:00,230420_1432,125.59,2135.03,1911.48,TSLA230421P00055000,2023-04-11 15:24:16+00:00,230411_1524,0.01,0.0,0.0,0.0,0.0,51.0,13025,0.500005,False,2023-04-11 15:24:16+00:00,230411_1524,125.59,1635809.75,130.25
11,230421,60.0,TSLA230421C00060000,2023-04-20 13:50:01+00:00,230420_1350,108.2,102.25,103.35,-16.75,-13.405362,1,11,6.617189228515626,True,2023-04-20 13:50:01+00:00,230420_1350,120.59,1326.49,1190.2,TSLA230421P00060000,2023-04-12 18:48:06+00:00,230412_1848,0.01,0.0,0.01,0.0,0.0,1.0,4177,4.12500484375,False,2023-04-12 18:48:06+00:00,230412_1848,120.59,503704.43,41.77
12,230421,65.0,TSLA230421C00065000,2023-04-20 13:44:14+00:00,230420_1344,103.28,97.25,98.35,-28.570007,-21.668568,12,64,6.125002343749999,True,2023-04-20 13:44:14+00:00,230420_1344,115.59,7397.76,6609.92,TSLA230421P00065000,2023-04-11 18:34:17+00:00,230411_1834,0.01,0.0,0.01,0.0,0.0,82.0,8581,3.8750003125,False,2023-04-11 18:34:17+00:00,230411_1834,115.59,991877.79,85.81
13,230421,70.0,TSLA230421C00070000,2023-04-11 14:16:06+00:00,230411_1416,116.48,92.25,93.55,0.0,0.0,3,63,6.093752382812499,True,2023-04-11 14:16:06+00:00,230411_1416,110.59,6967.17,7338.240000000001,TSLA230421P00070000,2023-04-14 15:11:05+00:00,230414_1511,0.01,0.0,0.0,0.0,0.0,25.0,5456,0.500005,False,2023-04-14 15:11:05+00:00,230414_1511,110.59,603379.04,54.56
14,230421,75.0,TSLA230421C00075000,2023-04-03 14:45:02+00:00,230403_1445,121.7,87.25,88.35,0.0,0.0,2,130,5.246097192382813,True,2023-04-03 14:45:02+00:00,230403_1445,105.59,13726.7,15821.0,TSLA230421P00075000,2023-04-19 16:35:13+00:00,230419_1635,0.01,0.0,0.0,0.0,0.0,5.0,13289,0.500005,False,2023-04-19 16:35:13+00:00,230419_1635,105.59,1403185.51,132.89000000000001
15,230421,80.0,TSLA230421C00080000,2023-04-17 15:57:14+00:00,230417_1557,87.27,82.25,83.35,-15.980003,-15.477,1,224,4.847660190429686,True,2023-04-17 15:57:14+00:00,230417_1557,100.59,22532.16,19548.48,TSLA230421P00080000,2023-04-20 19:58:35+00:00,230420_1958,0.01,0.0,0.0,0.0,0.0,31.0,8661,0.500005,False,2023-04-20 19:58:35+00:00,230420_1958,100.59,871209.99,86.61
16,230421,85.0,TSLA230421C00085000,2023-04-20 15:09:43+00:00,230420_1509,80.73,77.25,78.35,-21.07,-20.697445,1,91,4.476566904296874,True,2023-04-20 15:09:43+00:00,230420_1509,95.59,8698.69,7346.43,TSLA230421P00085000,2023-04-20 15:38:55+00:00,230420_1538,0.01,0.0,0.01,0.0,0.0,2.0,4155,2.750003125,False,2023-04-20 15:38:55+00:00,230420_1538,95.59,397176.45,41.550000000000004
17,230421,90.0,TSLA230421C00090000,2023-04-20 15:07:05+00:00,230420_1507,75.78,72.25,73.35,-19.270004,-20.273544,1,346,4.12500484375,True,2023-04-20 15:07:05+00:00,230420_1507,90.59,31344.14,26219.88,TSLA230421P00090000,2023-04-20 17:31:33+00:00,230420_1731,0.01,0.0,0.0,0.0,0.0,8.0,8378,0.500005,False,2023-04-20 17:31:33+00:00,230420_1731,90.59,758963.02,83.78
18,230421,95.0,TSLA230421C00095000,2023-04-20 15:15:43+00:00,230420_1515,70.77,67.25,68.35,-13.080002,-15.599287,3,93,3.7890630273437504,True,2023-04-20 15:15:43+00:00,230420_1515,85.59,7959.87,6581.61,TSLA230421P00095000,2023-04-20 18:07:14+00:00,230420_1807,0.01,0.0,0.01,0.0,0.0,11.0,10149,2.3125042187499996,False,2023-04-20 18:07:14+00:00,230420_1807,85.59,868652.91,101.49000000000001
19,230421,100.0,TSLA230421C00100000,2023-04-20 19:58:58+00:00,230420_1958,62.65,62.25,63.35,-17.849998,-22.173912,559,1434,3.4726575683593754,True,2023-04-20 19:58:58+00:00,230420_1958,80.59,115566.06,89840.09999999999,TSLA230421P00100000,2023-04-20 19:54:52+00:00,230420_1954,0.01,0.0,0.01,-0.01,-50.0,46.0,27289,2.1250046874999997,False,2023-04-20 19:54:52+00:00,230420_1954,80.59,2199220.5100000002,272.89
20,230421,105.0,TSLA230421C00105000,2023-04-20 14:11:34+00:00,230420_1411,62.95,57.25,58.35,-12.23,-16.267624,35,397,3.167970830078125,True,2023-04-20 14:11:34+00:00,230420_1411,75.59,30009.23,24991.15,TSLA230421P00105000,2023-04-20 18:18:48+00:00,230420_1818,0.01,0.0,0.0,0.0,0.0,627.0,6171,0.500005,False,2023-04-20 18:18:48+00:00,230420_1818,75.59,466465.89,61.71
21,230421,108.33,TSLA230421C00108330,2023-04-14 14:45:53+00:00,230414_1445,75.44,53.95,55.0,0.0,0.0,2,863,2.9433620166015624,True,2023-04-14 14:45:53+00:00,230414_1445,72.26,62360.380000000005,65104.72,TSLA230421P00108330,2023-04-20 18:22:37+00:00,230420_1822,0.01,0.0,0.01,0.0,0.0,347.0,6514,1.8125009374999999,False,2023-04-20 18:22:37+00:00,230420_1822,72.26,470701.64,65.14
22,230421,110.0,TSLA230421C00110000,2023-04-20 19:37:31+00:00,230420_1937,51.7,52.25,53.35,-20.3,-28.194443,24,1069,2.8750028125,True,2023-04-20 19:37:31+00:00,230420_1937,70.59,75460.71,55267.3,TSLA230421P00110000,2023-04-20 18:50:03+00:00,230420_1850,0.01,0.0,0.01,0.0,0.0,77.0,7000,1.75000125,False,2023-04-20 18:50:03+00:00,230420_1850,70.59,494130.0,70.0
23,230421,115.0,TSLA230421C00115000,2023-04-20 19:40:17+00:00,230420_1940,46.73,47.25,48.35,-23.170002,-33.147354,91,1391,2.5957066357421876,True,2023-04-20 19:40:17+00:00,230420_1940,65.59,91235.69,65001.42999999999,TSLA230421P00115000,2023-04-20 19:30:58+00:00,230420_1930,0.01,0.0,0.01,-0.01,-50.0,295.0,4837,1.5625021874999998,False,2023-04-20 19:30:58+00:00,230420_1930,65.59,317258.83,48.370000000000005
24,230421,116.67,TSLA230421C00116670,2023-04-20 19:02:35+00:00,230420_1902,44.85,45.6,46.7,-20.160004,-31.010618,71,2522,2.5273474316406244,True,2023-04-20 19:02:35+00:00,230420_1902,63.92,161206.24,113111.7,TSLA230421P00116670,2023-04-20 18:32:31+00:00,230420_1832,0.01,0.0,0.01,-0.01,-50.0,154.0,8793,1.5000025,False,2023-04-20 18:32:31+00:00,230420_1832,63.92,562048.56,87.93
25,230421,120.0,TSLA230421C00120000,2023-04-20 18:40:20+00:00,230420_1840,42.3,42.5,43.35,-20.75,-32.91039,101,3416,2.3242229394531244,True,2023-04-20 18:40:20+00:00,230420_1840,60.59,206975.44,144496.8,TSLA230421P00120000,2023-04-20 19:54:08+00:00,230420_1954,0.01,0.0,0.01,-0.01,-50.0,423.0,17723,1.3750031249999999,False,2023-04-20 19:54:08+00:00,230420_1954,60.59,1073836.57,177.23
26,230421,122.0,TSLA230421C00122000,2023-04-20 14:04:44+00:00,230420_1404,45.33,40.25,41.35,-20.07,-30.688072,1,5,2.216801333007812,True,2023-04-20 14:04:44+00:00,230420_1404,58.59,292.95000000000005,226.64999999999998,TSLA230421P00122000,2023-04-20 19:41:05+00:00,230420_1941,0.01,0.0,0.01,-0.02,-66.66667,3.0,332,1.3125034374999998,False,2023-04-20 19:41:05+00:00,230420_1941,58.59,19451.88,3.3200000000000003
27,230421,125.0,TSLA230421C00125000,2023-04-20 19:41:37+00:00,230420_1941,36.8,37.25,38.35,-18.440002,-33.38161,21,10543,2.0605517236328126,True,2023-04-20 19:41:37+00:00,230420_1941,55.59,586085.37,387982.39999999997,TSLA230421P00125000,2023-04-20 19:51:48+00:00,230420_1951,0.01,0.0,0.01,-0.02,-66.66667,150.0,12938,1.1875040625,False,2023-04-20 19:51:48+00:00,230420_1951,55.59,719223.42,129.38
28,230421,126.0,TSLA230421C00126000,2023-04-20 14:05:37+00:00,230420_1405,41.08,36.3,37.35,-16.07,-28.118982,1,4,2.00781748046875,True,2023-04-20 14:05:37+00:00,230420_1405,54.59,218.36,164.32,TSLA230421P00126000,2023-04-20 19:31:18+00:00,230420_1931,0.01,0.0,0.01,-0.02,-66.66667,107.0,202,1.15625421875,False,2023-04-20 19:31:18+00:00,230420_1931,54.59,11027.18,2.02
29,230421,128.0,TSLA230421C00128000,2023-04-20 19:08:23+00:00,230420_1908,33.19,34.35,35.35,-23.760002,-41.72081,12,10,1.9062504687500001,True,2023-04-20 19:08:23+00:00,230420_1908,52.59,525.9000000000001,331.9,TSLA230421P00128000,2023-04-20 19:40:34+00:00,230420_1940,0.01,0.0,0.01,-0.02,-66.66667,246.0,865,1.09375453125,False,2023-04-20 19:40:34+00:00,230420_1940,52.59,45490.350000000006,8.65
30,230421,129.0,TSLA230421C00129000,2023-04-20 18:52:32+00:00,230420_1852,32.94,33.25,34.35,-20.79,-38.69347,13,10,1.853516357421875,True,2023-04-20 18:52:32+00:00,230420_1852,51.59,515.9000000000001,329.4,TSLA230421P00129000,2023-04-20 19:44:20+00:00,230420_1944,0.01,0.0,0.01,-0.03,-75.0,297.0,1161,1.0625046875000002,False,2023-04-20 19:44:20+00:00,230420_1944,51.59,59895.990000000005,11.61
31,230421,130.0,TSLA230421C00130000,2023-04-20 19:58:43+00:00,230420_1958,32.83,32.3,33.35,-19.629997,-37.418983,601,2367,1.8027353613281247,True,2023-04-20 19:58:43+00:00,230420_1958,50.59,119746.53000000001,77708.61,TSLA230421P00130000,2023-04-20 19:58:29+00:00,230420_1958,0.01,0.0,0.01,-0.03,-75.0,968.0,11336,1.0312548437500002,False,2023-04-20 19:58:29+00:00,230420_1958,50.59,573488.24,113.36
32,230421,131.0,TSLA230421C00131000,2023-04-20 15:34:19+00:00,230420_1534,33.57,31.3,32.4,-19.779999,-37.075912,3,4,1.798829130859375,True,2023-04-20 15:34:19+00:00,230420_1534,49.59,198.36,134.28,TSLA230421P00131000,2023-04-20 19:48:42+00:00,230420_1948,0.01,0.01,0.02,-0.04,-79.99999,260.0,1310,1.109379453125,False,2023-04-20 19:48:42+00:00,230420_1948,49.59,64962.9,13.1
33,230421,132.0,TSLA230421C00132000,2023-04-20 18:39:17+00:00,230420_1839,30.21,30.3,31.4,-23.7,-43.96216,6,3,1.748048134765625,True,2023-04-20 18:39:17+00:00,230420_1839,48.59,145.77,90.63,TSLA230421P00132000,2023-04-20 19:53:44+00:00,230420_1953,0.01,0.01,0.02,-0.04,-79.99999,175.0,1025,1.0781296093750001,False,2023-04-20 19:53:44+00:00,230420_1953,48.59,49804.75,10.25
34,230421,133.33,TSLA230421C00133330,2023-04-20 18:34:51+00:00,230420_1834,28.85,28.95,30.05,-18.480001,-39.045006,31,4552,1.6621110644531252,True,2023-04-20 18:34:51+00:00,230420_1834,47.25999999999999,215127.51999999996,131325.2,TSLA230421P00133330,2023-04-20 19:55:59+00:00,230420_1955,0.01,0.0,0.02,-0.04,-79.99999,768.0,4071,0.98437515625,False,2023-04-20 19:55:59+00:00,230420_1955,47.25999999999999,192395.45999999996,40.71
35,230421,135.0,TSLA230421C00135000,2023-04-20 19:58:54+00:00,230420_1958,27.67,27.3,28.45,-19.160002,-40.913944,218,1563,1.6347674511718748,True,2023-04-20 19:58:54+00:00,230420_1958,45.59,71257.17,43248.21,TSLA230421P00135000,2023-04-20 19:53:29+00:00,230420_1953,0.01,0.01,0.02,-0.049999997,-83.33333,789.0,7627,0.9687503125,False,2023-04-20 19:53:29+00:00,230420_1953,45.59,347714.93000000005,76.27
36,230421,137.0,TSLA230421C00137000,2023-04-20 14:45:49+00:00,230420_1445,30.24,25.3,26.45,-12.859999,-29.837585,10,6,1.5312523437499999,True,2023-04-20 14:45:49+00:00,230420_1445,43.59,261.54,181.44,TSLA230421P00137000,2023-04-20 19:58:33+00:00,230420_1958,0.02,0.01,0.02,-0.05,-71.42857,3570.0,514,0.9062509375,False,2023-04-20 19:58:33+00:00,230420_1958,43.59,22405.260000000002,10.28
37,230421,138.0,TSLA230421C00138000,2023-04-20 19:03:15+00:00,230420_1903,23.5,24.3,25.4,-23.05,-49.516647,8,22,1.443362158203125,True,2023-04-20 19:03:15+00:00,230420_1903,42.59,936.98,517.0,TSLA230421P00138000,2023-04-20 19:52:09+00:00,230420_1952,0.03,0.01,0.02,-0.049999997,-62.5,366.0,2215,0.87500125,False,2023-04-20 19:52:09+00:00,230420_1952,42.59,94336.85,66.45
38,230421,139.0,TSLA230421C00139000,2023-04-20 15:10:06+00:00,230420_1510,27.0,23.3,24.4,-19.2,-41.55844,1,9,1.3925811621093749,True,2023-04-20 15:10:06+00:00,230420_1510,41.59,374.31000000000006,243.0,TSLA230421P00139000,2023-04-20 19:56:29+00:00,230420_1956,0.02,0.01,0.02,-0.07000001,-77.77779,487.0,2750,0.8359391406249999,False,2023-04-20 19:56:29+00:00,230420_1956,41.59,114372.50000000001,55.0
39,230421,140.0,TSLA230421C00140000,2023-04-20 19:59:50+00:00,230420_1959,22.8,22.6,23.7,-19.2,-45.71429,535,3542,1.115238798828125,True,2023-04-20 19:59:50+00:00,230420_1959,40.59,143769.78,80757.6,TSLA230421P00140000,2023-04-20 19:59:01+00:00,230420_1959,0.01,0.01,0.03,-0.080000006,-88.88889,13669.0,14543,0.8281267187499999,False,2023-04-20 19:59:01+00:00,230420_1959,40.59,590300.37,145.43
40,230421,141.67,TSLA230421C00141670,2023-04-20 19:55:42+00:00,230420_1955,21.54,20.9,21.7,-18.579998,-46.31106,525,6695,1.2373085009765623,True,2023-04-20 19:55:42+00:00,230420_1955,38.920000000000016,260569.4000000001,144210.3,TSLA230421P00141670,2023-04-20 19:54:44+00:00,230420_1954,0.02,0.01,0.02,-0.09,-81.818184,2975.0,12251,0.7500025,False,2023-04-20 19:54:44+00:00,230420_1954,38.920000000000016,476808.9200000002,245.02
41,230421,143.0,TSLA230421C00143000,2023-04-20 18:48:21+00:00,230420_1848,19.25,19.3,20.4,-20.2,-51.204056,12,103,1.19141029296875,True,2023-04-20 18:48:21+00:00,230420_1848,37.59,3871.7700000000004,1982.75,TSLA230421P00143000,2023-04-20 19:57:13+00:00,230420_1957,0.02,0.01,0.02,-0.11,-84.61539,1185.0,2284,0.70312796875,False,2023-04-20 19:57:13+00:00,230420_1957,37.59,85855.56000000001,45.68
42,230421,144.0,TSLA230421C00144000,2023-04-20 19:36:59+00:00,230420_1936,17.2,18.3,19.4,-22.649998,-56.83814,12,3,1.1416058544921874,True,2023-04-20 19:36:59+00:00,230420_1936,36.59,109.77000000000001,51.599999999999994,TSLA230421P00144000,2023-04-20 19:59:43+00:00,230420_1959,0.02,0.02,0.04,-0.120000005,-85.71429,485.0,3375,0.726565234375,False,2023-04-20 19:59:43+00:00,230420_1959,36.59,123491.25000000001,67.5
43,230421,145.0,TSLA230421C00145000,2023-04-20 19:54:52+00:00,230420_1954,18.0,17.3,18.5,-20.23,-52.916557,544,1968,1.1513714306640623,True,2023-04-20 19:54:52+00:00,230420_1954,35.59,70041.12000000001,35424.0,TSLA230421P00145000,2023-04-20 19:59:25+00:00,230420_1959,0.01,0.02,0.03,-0.14999999,-93.74999,4745.0,13129,0.6718782812500002,False,2023-04-20 19:59:25+00:00,230420_1959,35.59,467261.11000000004,131.29
44,230421,146.0,TSLA230421C00146000,2023-04-19 19:57:07+00:00,230419_1957,34.3,16.3,17.4,0.0,0.0,10,12,1.0410204199218753,True,2023-04-19 19:57:07+00:00,230419_1957,34.59,415.08000000000004,411.59999999999997,TSLA230421P00146000,2023-04-20 19:55:48+00:00,230420_1955,0.03,0.02,0.04,-0.15,-83.33333,1165.0,1201,0.6562534375000001,False,2023-04-20 19:55:48+00:00,230420_1955,34.59,41542.590000000004,36.03
45,230421,147.0,TSLA230421C00147000,2023-04-20 19:40:24+00:00,230420_1940,14.3,15.35,16.4,-20.900002,-59.375008,42,25,0.991211025390625,True,2023-04-20 19:40:24+00:00,230420_1940,33.59,839.7500000000001,357.5,TSLA230421P00147000,2023-04-20 19:59:58+00:00,230420_1959,0.04,0.03,0.04,-0.16999999,-80.95238,2535.0,2583,0.632816171875,False,2023-04-20 19:59:58+00:00,230420_1959,33.59,86762.97000000002,103.32000000000001
46,230421,148.0,TSLA230421C00148000,2023-04-20 19:40:50+00:00,230420_1940,14.25,14.35,15.4,-20.150002,-58.575584,13,16,0.9414068359375,True,2023-04-20 19:40:50+00:00,230420_1940,32.59,521.44,228.0,TSLA230421P00148000,2023-04-20 19:58:59+00:00,230420_1958,0.04,0.04,0.05,-0.16999999,-80.95238,2696.0,2025,0.6171913281250001,False,2023-04-20 19:58:59+00:00,230420_1958,32.59,65994.75,81.0
47,230421,149.0,TSLA230421C00149000,2023-04-20 19:04:56+00:00,230420_1904,11.85,13.35,14.4,-21.980001,-64.97192,118,25,0.8906260937499999,True,2023-04-20 19:04:56+00:00,230420_1904,31.590000000000003,789.7500000000001,296.25,TSLA230421P00149000,2023-04-20 19:59:30+00:00,230420_1959,0.07,0.06,0.07,-0.18,-72.0,3372.0,2031,0.6152382226562501,False,2023-04-20 19:59:30+00:00,230420_1959,31.590000000000003,64159.29000000001,142.17000000000002
48,230421,150.0,TSLA230421C00150000,2023-04-20 19:59:54+00:00,230420_1959,13.04,12.35,13.45,-17.560001,-57.385624,1416,20925,0.8652357226562499,True,2023-04-20 19:59:54+00:00,230420_1959,30.590000000000003,640095.7500000001,272862.0,TSLA230421P00150000,2023-04-20 19:59:58+00:00,230420_1959,0.08,0.07,0.08,-0.2,-71.42857,64065.0,65690,0.5898478515625001,False,2023-04-20 19:59:58+00:00,230420_1959,30.590000000000003,2009457.1000000003,5255.2
49,230421,152.5,TSLA230421C00152500,2023-04-20 19:58:14+00:00,230420_1958,10.35,9.95,11.0,-20.699999,-66.666664,335,153,0.7578149218750001,True,2023-04-20 19:58:14+00:00,230420_1958,28.090000000000003,4297.77,1583.55,TSLA230421P00152500,2023-04-20 19:59:33+00:00,230420_1959,0.14,0.13,0.15,-0.26,-65.0,16463.0,5971,0.55273884765625,False,2023-04-20 19:59:33+00:00,230420_1959,28.090000000000003,167725.39,835.94
50,230421,155.0,TSLA230421C00155000,2023-04-20 19:59:46+00:00,230420_1959,8.25,7.65,8.5,-18.4,-69.04315,2456,1390,0.622074091796875,True,2023-04-20 19:59:46+00:00,230420_1959,25.590000000000003,35570.100000000006,11467.5,TSLA230421P00155000,2023-04-20 19:59:59+00:00,230420_1959,0.28,0.27,0.29,-0.19999999,-41.666664,64305.0,17343,0.5224657128906249,False,2023-04-20 19:59:59+00:00,230420_1959,25.590000000000003,443807.37000000005,4856.040000000001
51,230421,157.5,TSLA230421C00157500,2023-04-20 19:59:59+00:00,230420_1959,6.1,5.6,6.1,-17.869999,-74.55152,2075,114,0.5136767382812499,True,2023-04-20 19:59:59+00:00,230420_1959,23.090000000000003,2632.26,695.4,TSLA230421P00157500,2023-04-20 19:59:57+00:00,230420_1959,0.59,0.55,0.6,-0.09000003,-13.235299,36263.0,9867,0.5024463818359376,False,2023-04-20 19:59:57+00:00,230420_1959,23.090000000000003,227829.03000000003,5821.53
52,230421,158.33,TSLA230421C00158330,2023-04-20 19:59:19+00:00,230420_1959,5.25,5.2,5.45,-18.55,-77.94117,1626,2986,0.51562984375,True,2023-04-20 19:59:19+00:00,230420_1959,22.25999999999999,66468.35999999997,15676.5,TSLA230421P00158330,2023-04-20 19:59:59+00:00,230420_1959,0.73,0.71,0.75,-0.029999971,-3.9473646,33018.0,5966,0.5039112109375,False,2023-04-20 19:59:59+00:00,230420_1959,22.25999999999999,132803.15999999995,4355.18
