,ExpDate,Strike,c_contractSymbol,c_lastTrade,c_lastTrade,Call_LastPrice,c_bid,c_ask,c_change,Call_PercentChange,Call_Volume,Call_OI,Call_IV,c_inTheMoney,c_lastTrade,c_lastTrade,Calls_dollarsFromStrike,Calls_dollarsFromStrikeXoi,Calls_lastPriceXoi,p_contractSymbol,p_lastTrade,p_lastTrade,Put_LastPrice,p_bid,p_ask,p_change,p_percentChange,Put_Volume,Put_OI,Put_IV,p_inTheMoney,p_lastTrade,p_lastTrade,Puts_dollarsFromStrike,Puts_dollarsFromStrikeXoi,Puts_lastPriceXoi
0,230421,20.0,W230421C00020000,2023-03-09 14:46:16+00:00,230309_1446,19.2,13.6,13.9,0.0,0.0,,20,1.0000000000000003e-05,True,2023-03-09 14:46:16+00:00,230309_1446,16.64,332.8,384.0,W230421P00020000,2023-04-17 18:52:28+00:00,230417_1852,0.01,0.0,0.0,0.0,0.0,135.0,829.0,0.500005,0.0,2023-04-17 18:52:28+00:00,230417_1852,16.64,13794.560000000001,8.290000000000001
1,230421,22.0,W230421C00022000,2023-04-10 14:06:20+00:00,230410_1406,13.3,0.0,0.0,0.0,0.0,4.0,14,1.0000000000000003e-05,True,2023-04-10 14:06:20+00:00,230410_1406,14.64,204.96,186.20000000000002,W230421P00022000,2023-04-20 14:10:34+00:00,230420_1410,0.01,0.0,0.0,0.0,0.0,21.0,1774.0,0.500005,0.0,2023-04-20 14:10:34+00:00,230420_1410,14.64,25971.36,17.740000000000002
2,230421,22.5,W230421C00022500,2023-04-10 15:48:59+00:00,230410_1548,12.35,0.0,0.0,0.0,0.0,5.0,23,1.0000000000000003e-05,True,2023-04-10 15:48:59+00:00,230410_1548,14.14,325.22,284.05,W230421P00022500,2023-04-20 13:55:47+00:00,230420_1355,0.01,0.0,0.0,0.0,0.0,919.0,2265.0,0.500005,0.0,2023-04-20 13:55:47+00:00,230420_1355,14.14,32027.100000000002,22.650000000000002
3,230421,23.0,W230421C00023000,2023-04-19 14:46:15+00:00,230419_1446,12.5,0.0,0.0,0.0,0.0,9.0,14,1.0000000000000003e-05,True,2023-04-19 14:46:15+00:00,230419_1446,13.64,190.96,175.0,W230421P00023000,2023-04-20 14:11:54+00:00,230420_1411,0.01,0.0,0.0,0.0,0.0,3.0,305.0,0.500005,0.0,2023-04-20 14:11:54+00:00,230420_1411,13.64,4160.2,3.0500000000000003
4,230421,24.0,W230421C00024000,2023-04-18 18:50:18+00:00,230418_1850,12.45,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,2023-04-18 18:50:18+00:00,230418_1850,12.64,0.0,0.0,W230421P00024000,2023-04-20 18:54:25+00:00,230420_1854,0.01,0.0,0.0,0.0,0.0,200.0,499.0,1.000005,0.0,2023-04-20 18:54:25+00:00,230420_1854,12.64,6307.360000000001,4.99
5,230421,25.0,W230421C00025000,2023-04-17 17:10:44+00:00,230417_1710,10.5,0.0,0.0,0.0,0.0,2.0,10,1.0000000000000003e-05,True,2023-04-17 17:10:44+00:00,230417_1710,11.64,116.4,105.0,W230421P00025000,2023-04-20 19:00:29+00:00,230420_1900,0.01,0.0,0.0,0.0,0.0,39.0,17336.0,0.500005,0.0,2023-04-20 19:00:29+00:00,230420_1900,11.64,201791.04,173.36
6,230421,25.5,W230421C00025500,2023-04-20 14:02:05+00:00,230420_1402,10.6,0.0,0.0,0.0,0.0,3.0,34,1.0000000000000003e-05,True,2023-04-20 14:02:05+00:00,230420_1402,11.14,378.76,360.4,W230421P00025500,2023-04-19 14:40:32+00:00,230419_1440,0.01,0.0,0.0,0.0,0.0,27.0,528.0,0.500005,0.0,2023-04-19 14:40:32+00:00,230419_1440,11.14,5881.92,5.28
7,230421,26.0,W230421C00026000,2023-04-17 17:17:15+00:00,230417_1717,9.7,0.0,0.0,0.0,0.0,3.0,5,1.0000000000000003e-05,True,2023-04-17 17:17:15+00:00,230417_1717,10.64,53.2,48.5,W230421P00026000,2023-04-19 16:54:44+00:00,230419_1654,0.02,0.0,0.0,0.0,0.0,100.0,1327.0,0.500005,0.0,2023-04-19 16:54:44+00:00,230419_1654,10.64,14119.28,26.54
8,230421,26.5,W230421C00026500,2023-04-14 17:53:44+00:00,230414_1753,7.92,0.0,0.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,2023-04-14 17:53:44+00:00,230414_1753,10.14,20.28,15.84,W230421P00026500,2023-04-20 13:31:04+00:00,230420_1331,0.1,0.0,0.0,0.0,0.0,7.0,785.0,0.500005,0.0,2023-04-20 13:31:04+00:00,230420_1331,10.14,7959.900000000001,78.5
9,230421,27.0,W230421C00027000,2023-04-18 13:40:51+00:00,230418_1340,9.3,0.0,0.0,0.0,0.0,8.0,11,1.0000000000000003e-05,True,2023-04-18 13:40:51+00:00,230418_1340,9.64,106.04,102.30000000000001,W230421P00027000,2023-04-19 19:06:55+00:00,230419_1906,0.02,0.0,0.0,0.0,0.0,8.0,463.0,0.500005,0.0,2023-04-19 19:06:55+00:00,230419_1906,9.64,4463.320000000001,9.26
