,expDate,strike,c_contractSymbol,c_lastTrade,c_lastTrade,c_lastPrice,c_bid,c_ask,c_change,c_percentChange,c_volume,c_openInterest,c_impliedVolatility,c_inTheMoney,c_lastTrade,c_lastTrade,c_dollarsFromStrike,c_dollarsFromStrikexOI,c_lastContractPricexOI,p_contractSymbol,p_lastTrade,p_lastTrade,p_lastPrice,p_bid,p_ask,p_change,p_percentChange,p_volume,p_openInterest,p_impliedVolatility,p_inTheMoney,p_lastTrade,p_lastTrade,p_dollarsFromStrike,p_dollarsFromStrikexOI,p_lastContractPricexOI
0,230526,95.0,AAPL230526C00095000,2023-04-12 14:07:07+00:00,230412_1407,66.85,72.4,72.75,0.0,0.0,,10,0.973633076171875,True,2023-04-12 14:07:07+00:00,230412_1407,-72.049,-720.49,668.5,AAPL230526P00095000,2023-04-14 19:45:26+00:00,230414_1945,0.04,0.01,0.03,0.0,0.0,,1889.0,0.632816171875,False,2023-04-14 19:45:26+00:00,230414_1945,-72.049,-136100.56100000002,75.56
1,230526,100.0,AAPL230526C00100000,2023-04-19 14:31:12+00:00,230419_1431,67.0,67.35,67.9,0.0,0.0,2.0,7,0.911133701171875,True,2023-04-19 14:31:12+00:00,230419_1431,-67.049,-469.3430000000001,469.0,AAPL230526P00100000,2023-04-18 17:14:51+00:00,230418_1714,0.04,0.02,0.04,0.0,0.0,4.0,16.0,0.6054726953125001,False,2023-04-18 17:14:51+00:00,230418_1714,-67.049,-1072.784,0.64
2,230526,125.0,AAPL230526C00125000,2023-04-19 16:56:59+00:00,230419_1656,43.4,42.7,42.9,0.0,0.0,22.0,82,0.59570716796875,True,2023-04-19 16:56:59+00:00,230419_1656,-42.04900000000001,-3448.0180000000005,3558.7999999999997,AAPL230526P00125000,2023-04-20 14:53:31+00:00,230420_1453,0.13,0.1,0.11,0.019999996,18.181814,68.0,84.0,0.42383388671875,False,2023-04-20 14:53:31+00:00,230420_1453,-42.04900000000001,-3532.1160000000004,10.92
3,230526,130.0,AAPL230526C00130000,2023-04-20 15:53:59+00:00,230420_1553,38.02,37.75,38.0,-0.6499977,-1.6808838,2.0,6,0.5417526293945314,True,2023-04-20 15:53:59+00:00,230420_1553,-37.04900000000001,-222.29400000000004,228.12,AAPL230526P00130000,2023-04-20 17:48:33+00:00,230420_1748,0.17,0.16,0.17,0.0,0.0,14.0,600.0,0.39893179199218753,False,2023-04-20 17:48:33+00:00,230420_1748,-37.04900000000001,-22229.400000000005,102.00000000000001
4,230526,135.0,AAPL230526C00135000,2023-04-19 19:58:40+00:00,230419_1958,33.1,32.85,33.1,0.0,0.0,2.0,4,0.5061084545898438,True,2023-04-19 19:58:40+00:00,230419_1958,-32.04900000000001,-128.19600000000003,132.4,AAPL230526P00135000,2023-04-20 18:10:40+00:00,230420_1810,0.24,0.24,0.25,0.00999999,4.3478217,67.0,140.0,0.3706117626953125,False,2023-04-20 18:10:40+00:00,230420_1810,-32.04900000000001,-4486.860000000001,33.6
5,230526,140.0,AAPL230526C00140000,2023-04-20 18:10:12+00:00,230420_1810,28.12,27.95,28.25,0.5799999,2.1060274,2.0,48,0.4558159887695313,True,2023-04-20 18:10:12+00:00,230420_1810,-27.049000000000007,-1298.3520000000003,1349.76,AAPL230526P00140000,2023-04-20 17:57:15+00:00,230420_1757,0.37,0.36,0.37,-0.00999999,-2.6315765,63.0,721.0,0.34278000976562495,False,2023-04-20 17:57:15+00:00,230420_1757,-27.049000000000007,-19502.329000000005,266.77
6,230526,145.0,AAPL230526C00145000,2023-04-19 14:17:51+00:00,230419_1417,22.53,23.3,23.5,0.0,0.0,3.0,17,0.4112607702636719,True,2023-04-19 14:17:51+00:00,230419_1417,-22.049000000000007,-374.8330000000001,383.01,AAPL230526P00145000,2023-04-20 17:58:49+00:00,230420_1758,0.56,0.57,0.59,-0.01999998,-3.4482725,121.0,497.0,0.3193427441406249,False,2023-04-20 17:58:49+00:00,230420_1758,-22.049000000000007,-10958.353000000003,278.32000000000005
7,230526,150.0,AAPL230526C00150000,2023-04-20 17:05:49+00:00,230420_1705,19.05,18.7,18.85,0.0,0.0,15.0,68,0.36817038085937503,True,2023-04-20 17:05:49+00:00,230420_1705,-17.049000000000007,-1159.3320000000003,1295.4,AAPL230526P00150000,2023-04-20 18:02:39+00:00,230420_1802,0.92,0.93,0.95,-0.029999971,-3.1578918,58.0,801.0,0.29688203124999996,False,2023-04-20 18:02:39+00:00,230420_1802,-17.049000000000007,-13656.249000000005,736.9200000000001
8,230526,155.0,AAPL230526C00155000,2023-04-20 17:33:14+00:00,230420_1733,14.55,14.4,14.55,-0.14999962,-1.0204055,21.0,201,0.3386296606445312,True,2023-04-20 17:33:14+00:00,230420_1733,-12.049000000000007,-2421.8490000000015,2924.55,AAPL230526P00155000,2023-04-20 18:02:22+00:00,230420_1802,1.52,1.53,1.57,-0.029999971,-1.935482,267.0,827.0,0.27747304565429687,False,2023-04-20 18:02:22+00:00,230420_1802,-12.049000000000007,-9964.523000000005,1257.04
9,230526,160.0,AAPL230526C00160000,2023-04-20 17:36:56+00:00,230420_1736,10.61,10.35,10.5,-0.1600008,-1.4856155,55.0,469,0.30652548950195313,True,2023-04-20 17:36:56+00:00,230420_1736,-7.049000000000007,-3305.981000000003,4976.09,AAPL230526P00160000,2023-04-20 18:01:16+00:00,230420_1801,2.51,2.53,2.57,-0.00999999,-0.39682502,241.0,1652.0,0.25891854370117195,False,2023-04-20 18:01:16+00:00,230420_1801,-7.049000000000007,-11644.948000000011,4146.5199999999995
