,ExpDate,Strike,c_contractSymbol,c_lastTrade,c_lastTrade,Call_LastPrice,c_bid,c_ask,c_change,Call_PercentChange,Call_Volume,Call_OI,Call_IV,c_inTheMoney,c_lastTrade,c_lastTrade,Calls_dollarsFromStrike,Calls_dollarsFromStrikeXoi,Calls_lastPriceXoi,p_contractSymbol,p_lastTrade,p_lastTrade,Put_LastPrice,p_bid,p_ask,p_change,p_percentChange,Put_Volume,Put_OI,Put_IV,p_inTheMoney,p_lastTrade,p_lastTrade,Puts_dollarsFromStrike,Puts_dollarsFromStrikeXoi,Puts_lastPriceXoi
0,230526,95.0,AAPL230526C00095000,2023-04-12 14:07:07+00:00,230412_1407,66.85,71.2,71.6,0.0,0.0,,10,1.0141650854492186,True,2023-04-12 14:07:07+00:00,230412_1407,-70.70500000000001,-707.0500000000002,668.5,AAPL230526P00095000,2023-04-14 19:45:26+00:00,230414_1945,0.04,0.01,0.03,0.0,0.0,,1889.0,0.6250037500000001,False,2023-04-14 19:45:26+00:00,230414_1945,70.70500000000001,133561.74500000002,75.56
1,230526,100.0,AAPL230526C00100000,2023-04-19 14:31:12+00:00,230419_1431,67.0,66.25,66.75,0.0,0.0,2.0,7,0.9584965087890623,True,2023-04-19 14:31:12+00:00,230419_1431,-65.70500000000001,-459.93500000000006,469.0,AAPL230526P00100000,2023-04-18 17:14:51+00:00,230418_1714,0.04,0.02,0.04,0.0,0.0,4.0,16.0,0.5976602734375001,False,2023-04-18 17:14:51+00:00,230418_1714,65.70500000000001,1051.2800000000002,0.64
2,230526,125.0,AAPL230526C00125000,2023-04-19 16:56:59+00:00,230419_1656,43.4,41.6,41.9,0.0,0.0,22.0,82,0.6301306518554688,True,2023-04-19 16:56:59+00:00,230419_1656,-40.70500000000001,-3337.810000000001,3558.7999999999997,AAPL230526P00125000,2023-04-20 18:59:29+00:00,230420_1859,0.11,0.11,0.12,0.0,0.0,74.0,84.0,0.418951123046875,False,2023-04-20 18:59:29+00:00,230420_1859,40.70500000000001,3419.220000000001,9.24
3,230526,130.0,AAPL230526C00130000,2023-04-20 15:53:59+00:00,230420_1553,38.02,36.45,36.95,-0.6499977,-1.6808838,2.0,6,0.5534712622070312,True,2023-04-20 15:53:59+00:00,230420_1553,-35.70500000000001,-214.23000000000008,228.12,AAPL230526P00130000,2023-04-20 18:59:06+00:00,230420_1859,0.17,0.17,0.18,0.0,0.0,15.0,600.0,0.3920959228515625,False,2023-04-20 18:59:06+00:00,230420_1859,35.70500000000001,21423.000000000007,102.00000000000001
4,230526,135.0,AAPL230526C00135000,2023-04-19 19:58:40+00:00,230419_1958,33.1,31.8,32.05,0.0,0.0,2.0,4,0.5127001855468749,True,2023-04-19 19:58:40+00:00,230419_1958,-30.705000000000013,-122.82000000000005,132.4,AAPL230526P00135000,2023-04-20 18:58:48+00:00,230420_1858,0.26,0.24,0.26,0.029999986,13.043472,68.0,140.0,0.362311064453125,False,2023-04-20 18:58:48+00:00,230420_1858,30.705000000000013,4298.700000000002,36.4
5,230526,140.0,AAPL230526C00140000,2023-04-20 18:10:12+00:00,230420_1810,28.12,26.85,27.25,0.5799999,2.1060274,2.0,48,0.4760794580078125,True,2023-04-20 18:10:12+00:00,230420_1810,-25.705000000000013,-1233.8400000000006,1349.76,AAPL230526P00140000,2023-04-20 19:01:07+00:00,230420_1901,0.39,0.39,0.42,0.00999999,2.6315765,128.0,721.0,0.3393620751953125,False,2023-04-20 19:01:07+00:00,230420_1901,25.705000000000013,18533.305000000008,281.19
6,230526,145.0,AAPL230526C00145000,2023-04-19 14:17:51+00:00,230419_1417,22.53,22.15,22.45,0.0,0.0,3.0,17,0.4211483666992188,True,2023-04-19 14:17:51+00:00,230419_1417,-20.705000000000013,-351.98500000000024,383.01,AAPL230526P00145000,2023-04-20 17:58:49+00:00,230420_1758,0.56,0.64,0.67,-0.01999998,-3.4482727,121.0,497.0,0.31592480957031244,False,2023-04-20 17:58:49+00:00,230420_1758,20.705000000000013,10290.385000000006,278.32000000000005
7,230526,150.0,AAPL230526C00150000,2023-04-20 18:49:31+00:00,230420_1849,17.8,17.65,17.85,-1.25,-6.56168,17.0,68,0.3761048718261719,True,2023-04-20 18:49:31+00:00,230420_1849,-15.705000000000013,-1067.940000000001,1210.4,AAPL230526P00150000,2023-04-20 19:06:07+00:00,230420_1906,1.1,1.06,1.08,0.15000004,15.789477,104.0,801.0,0.2934640966796874,False,2023-04-20 19:06:07+00:00,230420_1906,15.705000000000013,12579.70500000001,881.1
8,230526,155.0,AAPL230526C00155000,2023-04-20 19:05:33+00:00,230420_1905,13.48,13.4,13.55,-1.2200003,-8.299322,28.0,201,0.3399724206542969,True,2023-04-20 19:05:33+00:00,230420_1905,-10.705000000000013,-2151.7050000000027,2709.48,AAPL230526P00155000,2023-04-20 19:02:13+00:00,230420_1902,1.68,1.75,1.8,0.13,8.387097,296.0,827.0,0.27503166381835936,False,2023-04-20 19:02:13+00:00,230420_1902,10.705000000000013,8853.03500000001,1389.36
9,230526,160.0,AAPL230526C00160000,2023-04-20 18:57:38+00:00,230420_1857,9.79,9.5,9.7,-0.9800005,-9.099354,57.0,469,0.31189652954101554,True,2023-04-20 18:57:38+00:00,230420_1857,-5.7050000000000125,-2675.645000000006,4591.509999999999,AAPL230526P00160000,2023-04-20 19:04:18+00:00,230420_1904,2.83,2.88,2.93,0.30999994,12.301585,251.0,1652.0,0.25641612731933594,False,2023-04-20 19:04:18+00:00,230420_1904,5.7050000000000125,9424.66000000002,4675.16
10,230526,165.0,AAPL230526C00165000,2023-04-20 19:05:33+00:00,230420_1905,6.3,6.25,6.35,-0.6799998,-9.742118,177.0,2218,0.28528546752929684,True,2023-04-20 19:05:33+00:00,230420_1905,-0.7050000000000125,-1563.6900000000278,13973.4,AAPL230526P00165000,2023-04-20 19:03:14+00:00,230420_1903,4.4,4.5,4.65,0.3499999,8.641973,208.0,341.0,0.23792265991210934,False,2023-04-20 19:03:14+00:00,230420_1903,0.7050000000000125,240.40500000000426,1500.4
11,230526,170.0,AAPL230526C00170000,2023-04-20 18:58:31+00:00,230420_1858,3.85,3.6,3.7,-0.42000008,-9.836067,533.0,1712,0.2620923400878906,False,2023-04-20 18:58:31+00:00,230420_1858,4.2949999999999875,7353.039999999979,6591.2,AAPL230526P00170000,2023-04-20 18:53:56+00:00,230420_1853,6.95,6.8,7.05,0.7999997,13.008125,70.0,116.0,0.21521780883789063,True,2023-04-20 18:53:56+00:00,230420_1853,-4.2949999999999875,-498.21999999999855,806.2
12,230526,175.0,AAPL230526C00175000,2023-04-20 19:06:08+00:00,230420_1906,1.8,1.78,1.82,-0.34000015,-15.8878565,267.0,1163,0.24036404174804685,False,2023-04-20 19:06:08+00:00,230420_1906,9.294999999999987,10810.084999999985,2093.4,AAPL230526P00175000,2023-04-20 18:37:52+00:00,230420_1837,9.95,10.05,10.3,0.72000027,7.800654,10.0,69.0,0.18836260864257812,True,2023-04-20 18:37:52+00:00,230420_1837,-9.294999999999987,-641.3549999999991,686.55
13,230526,180.0,AAPL230526C00180000,2023-04-20 18:44:35+00:00,230420_1844,0.8,0.77,0.8,-0.18,-18.367346,521.0,2227,0.22852333984375,False,2023-04-20 18:44:35+00:00,230420_1844,14.294999999999987,31834.96499999997,1781.6000000000001,AAPL230526P00180000,2023-04-13 17:32:52+00:00,230413_1732,15.75,13.3,15.3,0.0,0.0,,4.0,0.24573508178710937,True,2023-04-13 17:32:52+00:00,230413_1732,-14.294999999999987,-57.17999999999995,63.0
14,230526,185.0,AAPL230526C00185000,2023-04-20 18:21:50+00:00,230420_1821,0.34,0.31,0.33,-0.060000002,-15.0,87.0,3403,0.2238847143554687,False,2023-04-20 18:21:50+00:00,230420_1821,19.294999999999987,65660.88499999995,1157.02,AAPL230526P00185000,2023-04-19 16:06:36+00:00,230419_1606,17.4,18.2,19.75,0.0,0.0,3.0,2.0,0.241218525390625,True,2023-04-19 16:06:36+00:00,230419_1606,-19.294999999999987,-38.589999999999975,34.8
15,230526,190.0,AAPL230526C00190000,2023-04-20 18:19:23+00:00,230420_1819,0.14,0.12,0.13,-0.030000001,-17.647058,108.0,147,0.22315229980468748,False,2023-04-20 18:19:23+00:00,230420_1819,24.294999999999987,3571.364999999998,20.580000000000002,AAPL230526P00190000,2023-04-19 14:17:50+00:00,230419_1417,23.65,23.25,24.55,0.0,0.0,1.0,3.0,0.25196060546875,True,2023-04-19 14:17:50+00:00,230419_1417,-24.294999999999987,-72.88499999999996,70.94999999999999
16,230526,200.0,AAPL230526C00200000,2023-04-20 19:06:49+00:00,230420_1906,0.04,0.03,0.05,-0.010000002,-20.000004,106.0,166,0.25391371093750004,False,2023-04-20 19:06:49+00:00,230420_1906,34.29499999999999,5692.9699999999975,6.640000000000001,AAPL230526P00200000,2023-04-14 16:30:02+00:00,230414_1630,35.6,33.3,34.6,0.0,0.0,,2.0,0.335944140625,True,2023-04-14 16:30:02+00:00,230414_1630,-34.29499999999999,-68.58999999999997,71.2
