,ExpDate,Strike,c_contractSymbol,c_lastTrade,c_lastTrade,Call_LastPrice,c_bid,c_ask,c_change,Call_PercentChange,Call_Volume,Call_OI,Call_IV,c_inTheMoney,c_lastTrade,c_lastTrade,Calls_dollarsFromStrike,Calls_dollarsFromStrikeXoi,Calls_lastPriceXoi,p_contractSymbol,p_lastTrade,p_lastTrade,Put_LastPrice,p_bid,p_ask,p_change,p_percentChange,Put_Volume,Put_OI,Put_IV,p_inTheMoney,p_lastTrade,p_lastTrade,Puts_dollarsFromStrike,Puts_dollarsFromStrikeXoi,Puts_lastPriceXoi
0,230526,95.0,AAPL230526C00095000,2023-04-12 14:07:07+00:00,230412_1407,66.85,71.05,71.35,0.0,0.0,,10,0.9072274902343749,True,2023-04-12 14:07:07+00:00,230412_1407,-315.74,-3157.4,668.5,AAPL230526P00095000,2023-04-14 19:45:26+00:00,230414_1945,0.04,0.01,0.03,0.0,0.0,,1889.0,0.6289099609375001,False,2023-04-14 19:45:26+00:00,230414_1945,315.74,596432.86,75.56
1,230526,100.0,AAPL230526C00100000,2023-04-19 14:31:12+00:00,230419_1431,67.0,66.1,66.5,0.0,0.0,2.0,7,0.8686536572265625,True,2023-04-19 14:31:12+00:00,230419_1431,-310.74,-2175.1800000000003,469.0,AAPL230526P00100000,2023-04-18 17:14:51+00:00,230418_1714,0.04,0.02,0.04,0.0,0.0,4.0,16.0,0.5976602734375001,False,2023-04-18 17:14:51+00:00,230418_1714,310.74,4971.84,0.64
2,230526,125.0,AAPL230526C00125000,2023-04-19 16:56:59+00:00,230419_1656,43.4,41.15,41.65,0.0,0.0,22.0,82,0.5507857421875001,True,2023-04-19 16:56:59+00:00,230419_1656,-285.74,-23430.68,3558.7999999999997,AAPL230526P00125000,2023-04-20 19:18:37+00:00,230420_1918,0.12,0.11,0.12,0.009999998,9.090907,75.0,84.0,0.41992767578125,False,2023-04-20 19:18:37+00:00,230420_1918,285.74,24002.16,10.08
3,230526,130.0,AAPL230526C00130000,2023-04-20 15:53:59+00:00,230420_1553,38.02,36.15,36.7,-0.6499977,-1.6808838,2.0,6,0.5366257275390626,True,2023-04-20 15:53:59+00:00,230420_1553,-280.74,-1684.44,228.12,AAPL230526P00130000,2023-04-20 18:59:06+00:00,230420_1859,0.17,0.17,0.19,0.0,0.0,15.0,600.0,0.39649041015625003,False,2023-04-20 18:59:06+00:00,230420_1859,280.74,168444.0,102.00000000000001
4,230526,135.0,AAPL230526C00135000,2023-04-19 19:58:40+00:00,230419_1958,33.1,31.65,31.85,0.0,0.0,2.0,4,0.4899953344726563,True,2023-04-19 19:58:40+00:00,230419_1958,-275.74,-1102.96,132.4,AAPL230526P00135000,2023-04-20 19:10:10+00:00,230420_1910,0.26,0.26,0.28,0.029999986,13.043471,72.0,140.0,0.36817038085937503,False,2023-04-20 19:10:10+00:00,230420_1910,275.74,38603.6,36.4
5,230526,140.0,AAPL230526C00140000,2023-04-20 18:10:12+00:00,230420_1810,28.12,26.7,26.95,0.5799999,2.1060274,2.0,48,0.4338435522460938,True,2023-04-20 18:10:12+00:00,230420_1810,-270.74,-12995.52,1349.76,AAPL230526P00140000,2023-04-20 19:01:07+00:00,230420_1901,0.39,0.41,0.44,0.00999999,2.6315765,128.0,721.0,0.3442448388671875,False,2023-04-20 19:01:07+00:00,230420_1901,270.74,195203.54,281.19
6,230526,145.0,AAPL230526C00145000,2023-04-19 14:17:51+00:00,230419_1417,22.53,21.9,22.3,0.0,0.0,3.0,17,0.39893179199218753,True,2023-04-19 14:17:51+00:00,230419_1417,-265.74,-4517.58,383.01,AAPL230526P00145000,2023-04-20 17:58:49+00:00,230420_1758,0.56,0.67,0.7,-0.01999998,-3.4482727,121.0,497.0,0.3210517114257812,False,2023-04-20 17:58:49+00:00,230420_1758,265.74,132072.78,278.32000000000005
7,230526,150.0,AAPL230526C00150000,2023-04-20 19:12:35+00:00,230420_1912,17.7,17.4,17.55,-1.3499985,-7.0866065,18.0,68,0.34668622070312494,True,2023-04-20 19:12:35+00:00,230420_1912,-260.74,-17730.32,1203.6,AAPL230526P00150000,2023-04-20 19:15:59+00:00,230420_1915,1.1,1.11,1.13,0.15000004,15.789478,407.0,801.0,0.29932341308593746,False,2023-04-20 19:15:59+00:00,230420_1915,260.74,208852.74000000002,881.1
8,230526,155.0,AAPL230526C00155000,2023-04-20 19:12:37+00:00,230420_1912,13.42,13.1,13.4,-1.2799997,-8.707481,29.0,201,0.32532412963867186,True,2023-04-20 19:12:37+00:00,230420_1912,-255.74,-51403.740000000005,2697.42,AAPL230526P00155000,2023-04-20 19:14:54+00:00,230420_1914,1.82,1.83,1.87,0.2700001,17.419361,298.0,827.0,0.28137925659179686,False,2023-04-20 19:14:54+00:00,230420_1914,255.74,211496.98,1505.14
9,230526,160.0,AAPL230526C00160000,2023-04-20 18:57:38+00:00,230420_1857,9.79,9.35,9.5,-0.9800005,-9.099354,57.0,469,0.29730927307128896,True,2023-04-20 18:57:38+00:00,230420_1857,-250.74,-117597.06,4591.509999999999,AAPL230526P00160000,2023-04-20 19:17:05+00:00,230420_1917,3.0,2.99,3.05,0.48000002,19.047619,275.0,1652.0,0.26489992919921873,False,2023-04-20 19:17:05+00:00,230420_1917,250.74,414222.48000000004,4956.0
