,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY230421C00150000,2023-04-21 13:58:45+00:00,150.0,261.2,260.45,260.58,-1.519989,-0.57855856,1.0,36,1.0000000000000003e-05,True,REGULAR,USD
1,SPY230421C00155000,2023-04-03 16:42:07+00:00,155.0,254.98,255.58,255.72,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
2,SPY230421C00160000,2022-12-01 16:30:35+00:00,160.0,247.04,223.86,225.21,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
3,SPY230421C00165000,2022-12-01 15:49:45+00:00,165.0,241.92,218.92,220.27,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
4,SPY230421C00170000,2023-03-22 17:56:17+00:00,170.0,229.3,240.38,240.54,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
5,SPY230421C00175000,2023-02-02 17:14:48+00:00,175.0,242.0,228.94,230.14,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
6,SPY230421C00180000,2023-03-16 19:59:08+00:00,180.0,216.03,232.61,233.29,0.0,0.0,47.0,0,7.7578128027343745,True,REGULAR,USD
7,SPY230421C00185000,2023-03-16 19:58:34+00:00,185.0,210.93,227.62,228.3,0.0,0.0,9.0,0,7.537109953613281,True,REGULAR,USD
8,SPY230421C00190000,2023-03-16 19:58:47+00:00,190.0,206.04,222.62,223.3,0.0,0.0,17.0,0,7.308594614257812,True,REGULAR,USD
9,SPY230421C00195000,2023-03-16 19:59:08+00:00,195.0,201.0,217.63,218.31,0.0,0.0,21.0,0,7.097657377929687,True,REGULAR,USD
10,SPY230421C00200000,2023-04-20 18:35:21+00:00,200.0,211.89,210.47,210.63,0.0,0.0,30.0,31,1.0000000000000003e-05,True,REGULAR,USD
11,SPY230421C00205000,2023-04-03 16:37:21+00:00,205.0,205.12,205.61,205.79,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
12,SPY230421C00210000,2023-04-17 13:35:19+00:00,210.0,202.78,200.58,200.74,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD
13,SPY230421C00215000,2023-03-01 20:47:59+00:00,215.0,180.53,194.61,195.35,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
14,SPY230421C00220000,2023-04-17 19:55:12+00:00,220.0,194.0,190.61,190.8,0.0,0.0,7.0,7,1.0000000000000003e-05,True,REGULAR,USD
15,SPY230421C00225000,2023-03-15 14:37:32+00:00,225.0,160.49,185.63,185.84,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
16,SPY230421C00230000,2023-01-20 15:03:25+00:00,230.0,161.61,177.25,178.47,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
17,SPY230421C00240000,2023-04-18 16:27:33+00:00,240.0,174.2,170.46,170.62,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
18,SPY230421C00245000,2023-04-04 13:50:11+00:00,245.0,166.53,165.61,165.8,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
19,SPY230421C00250000,2023-04-21 14:02:12+00:00,250.0,160.52,160.61,160.82,-2.5800018,-1.5818527,12.0,16,1.0000000000000003e-05,True,REGULAR,USD
20,SPY230421C00255000,2023-04-19 17:51:13+00:00,255.0,159.36,155.46,155.62,0.0,0.0,4.0,4,1.0000000000000003e-05,True,REGULAR,USD
21,SPY230421C00260000,2023-04-11 16:21:10+00:00,260.0,150.79,150.55,150.71,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
22,SPY230421C00265000,2023-04-03 18:41:46+00:00,265.0,145.77,145.44,145.62,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
23,SPY230421C00270000,2023-04-14 19:55:25+00:00,270.0,142.47,140.57,140.71,0.0,0.0,2.0,3,1.0000000000000003e-05,True,REGULAR,USD
24,SPY230421C00275000,2023-04-20 19:53:03+00:00,275.0,136.11,135.59,135.73,0.0,0.0,15.0,15,1.0000000000000003e-05,True,REGULAR,USD
25,SPY230421C00280000,2023-04-19 14:31:55+00:00,280.0,133.1,130.41,130.57,0.0,0.0,1.0,12,1.0000000000000003e-05,True,REGULAR,USD
26,SPY230421C00285000,2023-04-20 19:51:47+00:00,285.0,125.82,125.59,125.73,0.0,0.0,13.0,14,1.0000000000000003e-05,True,REGULAR,USD
27,SPY230421C00290000,2023-04-14 14:04:03+00:00,290.0,124.93,120.5,120.66,0.0,0.0,1.0,9,1.0000000000000003e-05,True,REGULAR,USD
28,SPY230421C00295000,2023-02-24 15:01:21+00:00,295.0,100.71,101.67,102.49,0.0,0.0,5.0,21,1.0000000000000003e-05,True,REGULAR,USD
29,SPY230421C00300000,2023-04-21 13:53:37+00:00,300.0,111.62,110.56,110.71,-0.23999786,-0.214552,2.0,550,1.0000000000000003e-05,True,REGULAR,USD
30,SPY230421C00305000,2023-03-31 15:38:44+00:00,305.0,102.62,105.54,105.68,0.0,0.0,6.0,143,1.0000000000000003e-05,True,REGULAR,USD
31,SPY230421C00310000,2023-04-20 19:49:52+00:00,310.0,100.87,100.61,100.74,0.0,0.0,3.0,113,1.0000000000000003e-05,True,REGULAR,USD
32,SPY230421C00315000,2023-04-20 19:15:04+00:00,315.0,95.62,95.41,95.59,0.0,0.0,3.0,122,1.0000000000000003e-05,True,REGULAR,USD
33,SPY230421C00320000,2023-04-20 19:51:13+00:00,320.0,90.74,90.63,90.79,0.0,0.0,3.0,118,1.0000000000000003e-05,True,REGULAR,USD
34,SPY230421C00325000,2023-04-20 13:30:43+00:00,325.0,86.17,85.51,85.67,0.0,0.0,2.0,221,1.0000000000000003e-05,True,REGULAR,USD
35,SPY230421C00330000,2023-04-21 13:48:47+00:00,330.0,82.09,80.63,80.78,-0.22000122,-0.2672837,3.0,90,1.0000000000000003e-05,True,REGULAR,USD
36,SPY230421C00335000,2023-04-20 19:00:18+00:00,335.0,76.75,75.53,75.69,0.0,0.0,7.0,91,1.0000000000000003e-05,True,REGULAR,USD
